python实习生,3个月,本科,100-130元/天,,,玖乾奕,基金,20-99人,上海·浦东新区·源深,"Pandas,MySQL,测试,运维开发经验,MongoDB,Numpy,量化交易开发经验,Python"
python实习生,3个月,本科,4-6K,,,科企岛,计算机软件,20-99人,上海·松江区·松江大学城,"Python,计算机相关专业"
Python,3个月,本科,20-28K·14薪,,,华为,不需要融资,10000人以上,上海·浦东新区·金桥,"留学生优先,国内院校优先,英美留学生,澳加留学生,Python,Java,C++,Docker,Kafka,Elasticsearch,Redis,Oracle,PostgreSQL,团队管理经验,Linux开发/部署经验,微服务经验"
系统研发实习生（Python）,3个月,本科,360-420元/天,,,Momenta,C轮,500-999人,上海·浦东新区·金桥,"Python,Flask,Hive"
Python开发工程师——实习,3个月,本科,200-300元/天,,,上海人工智能创新中心,未融资,500-999人,上海·徐汇区·龙华,"Python,Django,Flask,Hadoop,爬虫经验"
Python 实习工程师,3个月,本科,200-250元/天,,,上线了,A轮,100-499人,上海·杨浦区·五角场,"Python,Flask,Oracle,运维开发经验,留学生优先,不限"
初级python开发工程师,3个月,本科,11-20K·13薪,,,润和软件,已上市,10000人以上,上海·浦东新区·金桥,"Python,C++,Django,MySQL,Redis,图像效果评测,PQ调测,模组调测"
Python,3个月,本科,7-9K·14薪,,,达丰,不需要融资,10000人以上,上海,"Python,Django,Flask,MySQL,MongoDB,Linux开发/部署经验,爬虫经验"
Python开发（量化）,3个月,本科,40-70K·16薪,,,量化行业头部企业,不需要融资,100-499人,上海,"数据开发,后端,Python,互联网大厂,金融"
Python技术支持(A85608),3个月,本科,9-14K·15薪,,,分叉智能科技,C轮,100-499人,上海·长宁区·中山公园,"Python,Pandas,Selenium,Scrapy,MySQL,Redis,爬虫经验"
Python（急聘/14-16薪）,3个月,本科,20-40K·16薪,,,某大型互联网公司,不需要融资,10000人以上,上海,Python
python/matlab工程师（线上兼职工作）,3个月,本科,1000-4000元/周,,,永力信息,未融资,20-99人,上海·奉贤区·南桥,"后端,爬虫,Python"
Java/Python实习生,3个月,本科,150-240元/天,,,宜家中国,未融资,10000人以上,上海·徐汇区·万体馆,"Python,Java"
Python工程师（远程）,3个月,本科,200-300元/天,,,时代传浮,A轮,20-99人,上海·黄浦区·人民广场,"Python,PyTorch,MongoDB,PostgreSQL,爬虫经验"
python（应届实习）,3个月,本科,15-26K·13薪,,,某大型知名互联网公司,互联网,10000人以上,上海,"Python,Django,Pandas,Docker,Oracle,Redis,MySQL,Linux开发/部署经验"
python开发工程师，接受应届,3个月,本科,15-30K·14薪,,,华为,不需要融资,10000人以上,上海·浦东新区·金桥,"Python,Java,C/C++"
chatGPT开发实习生 (python),3个月,本科,200-400元/天,,,上海人大人科创,不需要融资,20-99人,上海·黄浦区·人民广场,Python
