兼职ai人工智能助教（150/天）,经验不限,本科,140-150元/天,,,赢帆,不需要融资,100-499人,上海·普陀区·长风,"兼职,线下教育"
兼职 AI人工智能,经验不限,本科,8000-15000元/月,,,筑巢工场,不需要融资,20-99人,上海·徐汇区·漕河泾,"C++,Python,RTOS"
AI人工智能城市合伙人,经验不限,本科,10-15K,,,裔游网络,计算机软件,0-20人,上海·宝山区·淞南,"客户/渠道开发及运营,企业,销售经验,团队招募及培养,接受兼职,较多外勤,企业服务,独立开拓市场能力,互联网/科技,制定区域营销计划,对机构（To B）销售经验"
AI人工智能研发兼总裁助理-应届或工作均可,经验不限,本科,12-24K,,,锡鼎,计算机硬件,100-499人,上海·闵行区·七宝,"计算机相关专业,机器学习算法/工程化经验,深度学习经验,人工智能,研发,985"
AI生成师,经验不限,本科,12-15K·13薪,,,上海云聚贸易发展...,不需要融资,100-499人,上海·闵行区·梅陇,"C端产品,语义类AI,机器学习类AI"
AI绘画师,经验不限,本科,3-8K,,,厦门安戈力文化,未融资,20-99人,上海·松江区·九亭,"兼职,远程办公,全职,广告/设计公司"
互联网B2B销售（人工智能/高提成/年假九day,经验不限,本科,11-14K,,,探迹,B轮,1000-9999人,上海·浦东新区·新国际博览中心,"客户拜访,客户开发,企业服务,互联网/科技,企业/机构（To B）,AI大数据,不用出差"
AI产品经理-CHATGPT类人工智能软件,经验不限,本科,12-24K·14薪,,,超对称,A轮,20-99人,上海·徐汇区·漕河泾,"C端产品,B端产品,语义类AI,视觉类AI"
AI AIGC助理,经验不限,本科,10-15K,,,拔俗网络,不需要融资,20-99人,上海·徐汇区·上海南站,"英文读写能力良好,Java,计算机相关专业,语音/图像识别,数学/统计相关专业,Python"
AI人工智能教学师,经验不限,本科,4-8K·13薪,,,新跃物流,不需要融资,500-999人,上海·金山区·石化,"人工智能,AI"
电驱设备自动化工程师 (人工智能),经验不限,本科,15-20K,,,特斯拉 Tesla,已上市,10000人以上,上海·浦东新区·临港,"业务导向,云计算"
销售顾问（云，人工智能，数字化）,经验不限,本科,20-40K,,,DaoCloud,D轮及以上,100-499人,上海·杨浦区·五角场,"面销/陌拜,政府/社会团体,软件/企业服务产品,对企业/机构（To B）销售经验,企业服务,企业（To B）,会展销售,软件销售,互联网/科技"
AI 产品经理,经验不限,本科,150-200元/天,,,bilibili,已上市,10000人以上,上海·杨浦区·五角场,"B端产品,AIGC,视频创作,剪辑工具"
AI人工智能技术工程师CTO（合伙人）,经验不限,本科,35-40K,,,川富资本,电子/半导体/集成电路,20-99人,上海·浦东新区·陆家嘴,"深度学习,机器学习,计算机语言处理技术"
ai产品运营,经验不限,本科,15-20K·13薪,,,韩创科技,不需要融资,500-999人,上海·浦东新区·张江,"数据分析能力好,C端产品"
人工智能AI研发产品管理实习生,经验不限,本科,400-800元/天,,,上海帅笑网络科技...,未融资,100-499人,上海·静安区·静安寺,"语义类AI,AI机器人,机器学习类AI,语音类AI,视觉类AI,智能汽车,智能穿戴,AI芯片"
人工智能-大模型推理,经验不限,本科,30-50K,,,太初,A轮,100-499人,上海·浦东新区·张江,"C/C++,Python"
ai产品经理,经验不限,本科,30-35元/时,,,算粒友,天使轮,0-20人,上海,"B端产品,机器学习类AI,语义类AI"
AI人工智能销售实习生 提供住宿 可转正,经验不限,本科,190-250元/天,,,珍岛集团,不需要融资,1000-9999人,上海·静安区·汶水路,"企业（To B）,电话销售经验,网络营销经验,对企业/机构（To B）销售经验,互联网/科技,企业服务,电子商务,软件/企业服务产品,课程/培训类产品,招商/商户拓展,电话销售,会展销售,不接受居家办公"
AI运营专家,经验不限,本科,25-40K·16薪,,,某大型知名互联网金融上市公司,已上市,10000人以上,上海,"C端产品,AI产品,语音机器人,文本机器人"
多语种人工智能训练师实习生,经验不限,本科,150-300元/天,,,斑马网络,A轮,1000-9999人,上海·闵行区·华漕,人工智能
人工智能AI专家库,经验不限,本科,40-70K,,,咕泡科技,不需要融资,100-499人,上海·浦东新区·川沙,"数学,element learnibg,pinn"
人工智能训练师实习生,经验不限,本科,180-230元/天,,,乐言科技,D轮及以上,1000-9999人,上海,"数据标注,文本标注,分类标注"
AI产品经理,经验不限,本科,15-25K·13薪,,,蚂蚁云科技集团,不需要融资,100-499人,上海·徐汇区·漕河泾,"G端产品,AI产品"
人工智能研发工程师,经验不限,本科,13-20K·13薪,,,智识神工NPC,天使轮,20-99人,上海·浦东新区·碧云,"C/C++,Python,Java,AI,深度神经网络"
ai工程师,经验不限,本科,20-30K,,,华为技术有限公司,不需要融资,10000人以上,上海·浦东新区·金桥,"深度学习,数据挖掘,图像算法,Python"
粤语ai训练,经验不限,本科,12-15K·14薪,,,雍源科技,互联网,100-499人,上海,"标注方法优化,语音标注,英美留学生,澳加留学生,欧洲留学生,粤语,粤语标注,广东话"
ai算法工程师,经验不限,本科,16-30K·14薪,,,北京外企德科人力...,不需要融资,1000-9999人,上海·浦东新区·金桥,"Java,Python,C/C++,计算机相关专业,机器学习算法/工程化经验,深度学习经验,不限,大模型算法,机器学习,深度学习,多模态算法,推荐算法,Python,C/C++,Java,算法工程化经验"
ai工程师,经验不限,本科,20-30K·14薪,,,华为,不需要融资,10000人以上,上海,"智能驾驶,云计算"
ai产品助理,经验不限,本科,5-7K,,,悠络客,C轮,100-499人,上海·徐汇区·漕河泾,"B端产品,视觉类AI"
人工智能实习生,3个月,本科,200-210元/天,,,GLorigin观庐科技,不需要融资,0-20人,上海·虹口区·四川北路,"自然语言处理算法,参加算法相关竞赛/获奖,Python"
AI公司CEO,3个月,本科,200-230K·18薪,,,某基金公司,不需要融资,20-99人,上海,互联网
AI产品经理,3个月,本科,12-20K,,,雷度网络,B轮,100-499人,上海·浦东新区·北蔡,"C端产品,小程序/H5产品,AI产品,AIGC"
战略（AI方向）北/上 头部大厂,3个月,本科,30-60K·16薪,,,某500强上市公司,D轮及以上,1000-9999人,上海,"AI,人工智能,战略"
AI人工智能产品设计及AI应用,3个月,本科,15-30K,,,久能,新能源,0-20人,上海·浦东新区·宣桥,"语义类AI,视觉类AI,机器学习类AI,语音类AI"
AI项目管理培训生/实习生,3个月,本科,150-200元/天,,,反差科技,不需要融资,20-99人,上海·杨浦区·五角场,"新媒体运营,AI,人工智能,产品优化"
ai产品经理,3个月,本科,20-40K·16薪,,,上海自由量级智能科技,天使轮,20-99人,上海·闵行区·浦江,语义类AI
人工智能驱动物质科学见习研究员,3个月,本科,300-400元/天,,,上海人工智能创新中心,未融资,500-999人,上海·徐汇区·龙华,"计算机相关专业,机器学习算法/工程化经验,深度学习经验"
AI 人工智能产品设计,3个月,本科,15-25K,,,峰湖谷林网络科技,不需要融资,0-20人,上海·浦东新区·张江,语义类AI
