总部|数据分析师（双休）,经验不限,本科,20-40K·14薪,,,维马尼集团,不需要融资,100-499人,上海·浦东新区·陆家嘴,"SQL,Python,SAS"
数据分析师,经验不限,本科,11-16K,,,盛迭,未融资,100-499人,上海·长宁区·新华路,"Power BI,Excel,SQL,Azure"
数据分析师,经验不限,本科,200-300元/天,,,美团,已上市,10000人以上,上海·杨浦区·五角场,"SQL,数学/统计相关专业,机器学习建模经验,电商/零售行业数据相关经验"
数据分析师 (远程),经验不限,本科,200-300元/天,,,准雀教育,未融资,0-20人,上海·黄浦区·外滩,"Python,SPSS,SAS"
数据分析师,经验不限,本科,20-40K·15薪,,,叮咚买菜,已上市,10000人以上,上海·浦东新区·曹路,数据分析
数据分析师（JD23）,经验不限,本科,10-15K,,,上海信聚,A轮,20-99人,上海·浦东新区·御桥,数学/统计相关专业
IT校招-数据分析师(J13446),经验不限,本科,11-20K·13薪,,,中通快递,已上市,10000人以上,上海·青浦区,"SQL,Python,R"
数据分析师（尽快实习）,经验不限,本科,8-12K·14薪,,,卡方科技,C轮,100-499人,上海·闵行区·虹梅路,"Python,数学/统计相关专业,数据分析/挖掘经验"
数据分析师,经验不限,本科,8-10K·14薪,,,群贤集团,不需要融资,100-499人,上海·普陀区·长风,"Python,数据分析/挖掘经验"
数据分析师,经验不限,本科,100-150元/天,,,斯派格,互联网,0-20人,上海·松江区·松江大学城,"Python,SPSS,数学/统计相关专业,计算机相关专业,数据分析/挖掘经验"
数据分析师,经验不限,本科,13-20K,,,鑫润达,电子商务,20-99人,上海·浦东新区·陆家嘴,"SQL,Python,R"
内容数据分析师,经验不限,本科,35-65K·18薪,,,某500强上市公司,D轮及以上,1000-9999人,上海,"SQL,Python,Tableau,内容数据分析,社区产品"
数据分析师,经验不限,本科,35-65K·16薪,,,小红书,D轮及以上,1000-9999人,上海·黄浦区·新天地,"SQL,Python,Hive,数学/统计相关专业,计算机相关专业,数据分析/挖掘经验"
数据分析师（可实习）,经验不限,本科,10-15K·13薪,,,常州欧尔孚特,未融资,100-499人,上海·普陀区·梅川路,"SQL,Python,Power BI,数学/统计相关专业,计算机相关专业,电商/零售行业数据相关经验"
数据分析师,经验不限,本科,13-20K,,,孙清餐饮有限公司,餐饮,20-99人,上海·松江区·九亭,"SQL,Python,Power BI,数据分析/挖掘经验"
数据分析师,经验不限,本科,240-300元/天,,,返利科技,已上市,100-499人,上海,"SQL,R,Python"
数据分析师,经验不限,本科,11-22K·14薪,,,友塔游戏,不需要融资,1000-9999人,上海·长宁区·仙霞,相关分析
数据分析师,经验不限,本科,10-15K,,,好莱购集团,电子商务,100-499人,上海·松江区·石湖荡,
【急招】数据分析师-生活服务,经验不限,本科,15-30K·16薪,,,北京字节跳动,不需要融资,10000人以上,上海·徐汇区·漕河泾,"SQL,Python,Hive"
数据分析师（零售）,经验不限,本科,20-30K,,,亚朵集团,已上市,10000人以上,上海·闵行区·虹桥,"竞品分析,业务数据分析,业务模式/运营策略优化,SQL,数据分析/商业分析经验,零售、电商行业"
数据分析师,经验不限,本科,25-35K·14薪,,,NIO蔚来,已上市,10000人以上,上海·嘉定区·安亭,"SQL,Python,数学/统计相关专业,机器学习建模经验,电商/零售行业数据相关经验"
数据分析师-急,经验不限,本科,20-35K·14薪,,,哈啰普惠,D轮及以上,1000-9999人,上海·闵行区·莘庄,"SQL,Python,数学/统计相关专业,数据分析/挖掘经验"
数据分析师（销售分析）,经验不限,本科,13-25K,,,云竞电子科技,未融资,100-499人,上海·浦东新区·张江,"SQL,数学/统计相关专业,数据分析/挖掘经验,电商/零售行业数据相关经验"
数据分析师实习生,经验不限,本科,120-200元/天,,,上海芦鸣,已上市,100-499人,上海·徐汇区·漕河泾,"数据分析/挖掘经验,数学/统计相关专业"
资深数据分析师（上海）,经验不限,本科,25-40K·13薪,,,SHEIN,D轮及以上,10000人以上,上海·长宁区·中山公园,"SQL,Python,R,数据分析/挖掘经验,用户增长"
大厂-数据分析师,经验不限,本科,40-60K,,,某大型知名电子商务公司,电子商务,10000人以上,上海,SAS
（独角兽企业）数据分析师,经验不限,本科,30-60K·16薪,,,某500强上市公司,D轮及以上,1000-9999人,上海,"SQL,Python,数学/统计相关专业,电商/零售行业数据相关经验"
数据分析师助理,经验不限,本科,6-9K,,,十禾科技,未融资,100-499人,上海·浦东新区·金桥,"业务数据分析,数据分析/商业分析经验,统计/数学相关专业"
数据分析师,经验不限,本科,15-30K,,,SHEIN,D轮及以上,10000人以上,上海·徐汇区·五官科医院,SQL
医美数据分析师（宏脉）,经验不限,本科,12-20K,,,纽菲思医疗美容门诊部,未融资,100-499人,上海·徐汇区·漕河泾,"数学/统计相关专业,计算机相关专业,数据分析/挖掘经验"
数据分析师(J10761),1-3年,大专,12-24K,,,海纳数科,不需要融资,100-499人,上海·浦东新区·张江,"Python,SQL,数学/统计相关专业,计算机相关专业,数据分析/挖掘经验"
数据分析师/数据分析经理,1-3年,大专,12-24K·13薪,,,老百姓大药房,已上市,10000人以上,上海·徐汇区·枫林路,"SQL,数学/统计相关专业,数据分析/挖掘经验,电商/零售行业数据相关经验"
数据分析师,1-3年,大专,120-170元/天,,,拓端tecdat,未融资,0-20人,上海·杨浦区·五角场,"Python,R,MATLAB,数学/统计相关专业,计算机相关专业,经济/工商管理相关专业"
数据分析师,1-3年,大专,12-18K·15薪,,,bilibili,已上市,10000人以上,上海·杨浦区·五角场,"SQL,Power BI"
医养数据分析师,1-3年,大专,20-40K·14薪,,,某大型知名互联网上市公司,已上市,10000人以上,上海,"漏斗数据,客群,客户需求洞察"
数据分析师,1-3年,大专,8-12K·13薪,,,Topi China,未融资,20-99人,上海·静安区·大宁,"SQL,数学/统计相关专业,数据分析/挖掘经验,电商/零售行业数据相关经验,小程序,社群"
数据分析师,1-3年,大专,7-11K·13薪,,,高绩,不需要融资,100-499人,上海·徐汇区·徐家汇,"数据查找,数据采集,数据分析"
数据分析师,1-3年,大专,28-45K·16薪,,,小红书,D轮及以上,1000-9999人,上海·黄浦区·淮海路,"Python,SQL"
数据分析师,1-3年,大专,35-65K·16薪,,,某500强上市公司,已上市,10000人以上,上海,"Tableau,SQL,Python"
数据分析师,1-3年,大专,250-300元/天,,,赛舵智能科技,B轮,100-499人,上海·徐汇区·漕河泾,"SQL,Python,计算机相关专业,机器学习建模经验,数据分析/挖掘经验"
python数据分析师,1-3年,大专,11-17K,,,佳态安,互联网,0-20人,上海·浦东新区·陆家嘴,"Python,机器学习建模经验,数学/统计相关专业,scikit-learn"
数据分析师（风控方向）,1-3年,大专,20-40K,,,拼多多,已上市,1000-9999人,上海·长宁区·仙霞,SQL
