Python,经验不限,本科,100-150元/时,,,北京源舫科技有限公司,不需要融资,100-499人,北京,"Python,PyTorch,TensorFlow,Pandas,MySQL,机器学习经验,深度学习"
Python开发实习生,经验不限,本科,200-300元/天,,,作业帮,D轮及以上,10000人以上,北京·海淀区·上地,"C++,Django,Flask,MySQL,Linux开发/部署经验"
python工程师（高薪急招-稳定）,经验不限,本科,20-40K·16薪,,,某大型互联网公司,不需要融资,10000人以上,北京,"后端,爬虫,数据开发,Shell,Python,MySQL"
Python,经验不限,本科,15-16K,,,华为数字技术,不需要融资,10000人以上,北京,"Python,Docker,MySQL,Linux开发/部署经验,运维开发经验,机器学习经验"
python后端开发,经验不限,本科,11-20K,,,动次科技,未融资,20-99人,北京·朝阳区·望京,"后端,Python,MySQL"
python实习生,经验不限,本科,200-300元/天,,,中科助腾,不需要融资,100-499人,北京·海淀区·上地,"Python,Django,Numpy,Pandas,MySQL,MongoDB,架构设计经验,Linux开发/部署经验,机器学习经验,爱专研,学习能力强"
AI大模型-研发（python）,经验不限,本科,220-280元/天,,,金山云,已上市,1000-9999人,北京·海淀区·安宁庄,"Python,TensorFlow,MySQL,分布式经验,爬虫经验"
python深度学习,经验不限,本科,5-8K,,,虚壹静几,未融资,0-20人,北京·怀柔区·雁栖,"Python,Django,PyTorch,MySQL,机器学习经验"
python开发,经验不限,本科,8-11K,,,中软国际,已上市,10000人以上,北京·海淀区·北太平庄,"Python,Django,PyTorch,MySQL,Linux开发/部署经验,模型,python"
python实习生,经验不限,本科,220-340元/天,,,云智慧,D轮及以上,1000-9999人,北京·朝阳区·三元桥,Python
python开发实习生,经验不限,本科,100-120元/天,,,硕腾飞凡,计算机软件,20-99人,北京·朝阳区·鸟巢,"Python,Flask,MySQL,Linux开发/部署经验,运维开发经验,线上办公"
Python开发（量化）,经验不限,本科,40-70K·16薪,,,量化行业头部企业,不需要融资,100-499人,北京,"后端,Python,互联网大厂,金融"
python实习生,经验不限,本科,150-180元/天,,,小盒科技,D轮及以上,1000-9999人,北京·朝阳区·望京,"Python,PyTorch,Spark,机器学习经验"
兼职python编程老师,经验不限,本科,10-15K,,,阿狸科技营,互联网,0-20人,北京·大兴区·林校路,
Python实习生(J10315),经验不限,本科,150-260元/天,,,睿智合创,A轮,100-499人,北京·丰台区·六里桥,"后端,Python,Django,计算机相关专业,数学/统计相关专业,机器学习工程经验"
系统研发实习生-python,经验不限,本科,360-370元/天,,,Momenta,C轮,500-999人,北京·海淀区·学院路,"Python,Kubernetes,Scrapy,Kafka,MySQL,Redis,运维开发经验,Linux开发/部署经验"
python开发工程师实习生,经验不限,本科,200-400元/天,,,中网联合,不需要融资,100-499人,北京·西城区·金融街,"Python,Django,Flask,MongoDB,MySQL,爬虫经验,Linux开发/部署经验"
python开发,经验不限,本科,15-16K,,,金安明信,互联网,0-20人,北京·海淀区·北京大学,"Python,Django,Scrapy,Elasticsearch,MySQL,Redis,Linux开发/部署经验,微服务经验"
python/matlab工程师（线上兼职工作）,经验不限,本科,1000-4000元/周,,,永力信息,未融资,20-99人,北京·丰台区·公益西桥,"爬虫,数据开发,机器学习/算法工程,Python,C/C++,Java,爬虫经验,计算机相关专业,机器学习工程经验,matlab,以太坊区块链,仿真建模"
Matlab/Python工程师（线上兼职）,经验不限,本科,1000-4000元/周,,,岩旭科技,不需要融资,20-99人,北京·朝阳区·朝外,"Python,PyTorch,MySQL,Linux开发/部署经验,爬虫经验,机器学习经验,matlab,simulink"
