人工智能游戏策划,1-3年,本科,20-30K,,,简圣科技,互联网,0-20人,北京·朝阳区·来广营,"第一人称,玩法策划,人工智能,社交类游戏"
后端开发实习生-AI Lab,1-3年,本科,200-250元/天,,,北京字节跳动,不需要融资,10000人以上,北京·朝阳区·西坝河,"C++,Python,Java,Nginx,Hadoop"
AI Agent开发实习生,1-3年,本科,200-400元/天,,,步刻时光,电子商务,20-99人,北京·通州区·果园,"Python,Numpy,Pandas,Docker,MySQL,Redis,PostgreSQL,机器学习经验"
Java实习生（AI应用技术方向）,1-3年,本科,200-300元/天,,,狐獴暖心,移动互联网,0-20人,北京·海淀区·苏州桥,"Java,Spring,MySQL,不接受居家办公,架构设计经验,微服务经验"
AI Agent开发工程师,1-3年,本科,200-400元/天,,,健力康盛,天使轮,20-99人,北京·通州区·九棵树,"Python,Numpy,Pandas,Docker,MySQL,Redis,PostgreSQL,机器学习经验"
人工智能实习生,1-3年,本科,150-200元/天,,,北京六闻科技,不需要融资,20-99人,北京·顺义区·后沙峪,"语音/图像识别,搜索/推荐,云计算"
AI事业部总经理,1-3年,本科,100-200K·17薪,,,某500强上市公司,已上市,1000-9999人,北京,"电商,互联网,人工智能,技术创新,31-100人"
AI Agent 能力建设 产品经理(A101588),1-3年,本科,24-30K·14薪,,,理想汽车,已上市,10000人以上,北京·顺义区·马坡,"智能家居,AI机器人,智能汽车,语音类AI,视觉类AI,智能穿戴,C端产品,B端产品"
AI 实习生（深度学习方向）或兼职,1-3年,本科,200-300元/天,,,四梯,未融资,20-99人,北京·丰台区·岳各庄,计算机相关专业
AI 产品实习生,1-3年,本科,150-300元/天,,,北京天佑三石数字科技,天使轮,20-99人,北京·东城区·王府井,"C端产品,语义类AI,机器学习类AI,AI机器人,大牛带队"
人工智能机器学习深度算法工程师【兼职】,1-3年,本科,8000-14000元/月,,,成都俏嘴娃电子商务,未融资,0-20人,北京·海淀区·中关村,"Python,C/C++,MATLAB"
AI人工智能技术工程师（创业合伙人）,1-3年,本科,50-55K,,,川富资本,电子/半导体/集成电路,20-99人,北京·海淀区·上地,"计算机视觉,机器学习,深度学习,自然语言处理,脑机接口,知识图谱,人机交互,自主无人系统"
ai实习生,1-3年,本科,250-300元/天,,,小米,已上市,10000人以上,北京·海淀区·上地,大模型算法
AI短视频运营,1-3年,本科,100-200元/天,,,潜在空间,不需要融资,0-20人,北京·朝阳区·望京,"人工智能,短视频"
AI人工智能讲师,1-3年,本科,10-15K,,,北京众志行文化发展,社交网络与媒体,20-99人,北京·海淀区·西三旗,"全职,培训机构,线下教育,坐班,大班教学（25人以上）,教育学专业背景,普通话发音标准,大型教育机构经验,成人,职业与技能培训类"
大数据，算法，人工智能实习岗,1-3年,本科,100-200元/天,,,绿巢智慧数据,未融资,20-99人,北京,"计算机相关专业,机器学习算法/工程化经验,深度学习经验,自律，自驱"
人工智能AI作家/编辑/编剧,1-3年,本科,5-10K·14薪,,,安谛科技,不需要融资,0-20人,北京·海淀区·苏州桥,"全职,底薪+提成,原创故事,网络小说,知识性内容,新闻传媒专业,中文专业,爆文制造机"
人工智能大模型等AI前沿算法研究实习生,1-3年,本科,200-240元/天,,,浙大,学校/学历教育,10000人以上,北京·海淀区·中关村,"有国际期刊/会议论文发表,英美留学生,大模型算法,AI大模型，前沿算法,深度学习经验,发表算法相关优秀论文,CNN/RNN/LSTM,生物医疗,机器学习,欧洲留学生,TensorFlow/PyTorch,强化学习,澳加留学生,Python,数学/统计相关专业"
人工智能数据标注员,1-3年,本科,2-3K,,,北京际和,未融资,0-20人,北京·朝阳区·花家地,"数据开发,服务端开发经验,SQL语言,后端,计算机相关专业,Python"
人工智能工程化科研实习生,1-3年,本科,120-150元/天,,,中国信息通信研究院,咨询,1000-9999人,北京·海淀区·学院路,"计算机相关专业,软件/信息技术项目"
人工智能AI设计师 新媒体,1-3年,本科,8-13K,,,星驰传媒,B轮,100-499人,北京,"美术设计,动画,AIGC"
AI算法工程师,1-3年,本科,15-30K,,,时光乐章,天使轮,20-99人,北京·朝阳区·朝阳公园,"研究导向,Python,C/C++,计算机相关专业,机器学习算法/工程化经验,深度学习经验,人工智能,Prompt Engineering,FineTune"
编剧（AI辅助）,1-3年,本科,120-150元/时,,,可造科技,不需要融资,20-99人,北京·海淀区·中关村,"广告,电视剧,短视频"
ai 平台产品经理,1-3年,本科,35-65K,,,第四范式,D轮及以上,500-999人,北京·海淀区·清河,"B端产品,C端产品,机器学习类AI"
远端全职--人工智能ai工程师,1-3年,本科,25-40K·13薪,,,临行旅游科技有限公司,A轮,0-20人,北京,"深度学习,自然语言处理算法,语音算法,多模态算法,C/C++,Python,大数据处理工具(Spark/Hadoop/Hive)"
人工智能/机器学习算法工程师,1-3年,本科,12-24K·15薪,,,中移雄安,不需要融资,1000-9999人,北京,"深度学习算法,人工智能,机器学习,数据挖掘,Hadoop,Spark"
人工智能ai课程讲师,1-3年,本科,15-30K,,,宏大,不需要融资,100-499人,北京·朝阳区·百子湾,"强化学习,深度学习,数据挖掘,自然语言处理算法,大数据处理工具(Spark/Hadoop/Hive),团队管理经验,算法工程化经验"
AI 社交用户增长 Team Leader（p8~p8+）,1-3年,本科,60-90K·23薪,,,某互联网公司,互联网,20-99人,北京,"C端用户,增长运营相关实践,对 AI方向的认知,海外用增经验"
AI绘画,1-3年,本科,5-6K,,,爱宝兰艺术中心,未融资,20-99人,北京·朝阳区·广渠门,"居家办公,线上兼职"
人工智能产品经理（大模型开发平台）,1-3年,本科,20-30K·13薪,,,某500强上市公司,D轮及以上,500-999人,北京,AI产品
实习生 人工智能,1个月,本科,150-200元/天,,,鸣石科技,智能硬件,0-20人,北京,"Python,OpenCV"
人工智能开发工程师,1个月,本科,150-200元/天,,,北京着陆页科技,不需要融资,20-99人,北京·丰台区·花乡,"大模型,机器学习"
ai运营,1个月,本科,30-35K,,,某500强上市公司,移动互联网,10000人以上,北京,"内容生产运营,知识类,新闻类,教育培训,政务,文字功底扎实,搜索,数据标注"
机器人和人工智能方向技术研发实习生,1个月,本科,2-3K,,,华清行知,计算机软件,20-99人,北京·海淀区·五道口,"C/C++,Python,机器人,人工智能"
人工智能技术大牛,1个月,本科,50-80K·15薪,,,北京筛子科技有限公司,电子商务,0-20人,北京·朝阳区·奥林匹克公园,"算法基础,嵌入式技术"
ai人工智能软件使用优化产品经理实习生,1个月,本科,100-150元/天,,,萌石科技,不需要融资,0-20人,北京·房山区·良乡,"AI机器人,C端产品,视觉类AI,机器学习类AI"
ai产品人工智能使用开发优化产品经理实习生,1个月,本科,100-150元/天,,,笑世文化,文化艺术/娱乐,0-20人,北京·房山区·良乡,"AI机器人,视觉类AI,机器学习类AI,C端产品"
人工智能产品运营专家-APP（头部大厂）,1个月,本科,50-80K·16薪,,,某大型互联网公司,B轮,10000人以上,北京,"社区类,平台类,大模型产品运营,内容运营,社区型平台运营"
AI编辑,1个月,本科,15-25K,,,虎嗅网,不需要融资,100-499人,北京·朝阳区·大望路,"汽车,编辑,AIGC,AI"
AI美术,1个月,本科,10-15K·14薪,,,APUS,不需要融资,100-499人,北京·朝阳区·望京,"服装/纺织设计,不接受居家办公"
人工智能创作研发组_计算机视觉算法实习生,1个月,本科,200-250元/天,,,百度,已上市,10000人以上,北京·海淀区·西北旺,"计算机相关专业,计算机视觉"
人工智能工程师-大模型AI应用与训练,1个月,本科,20-25K,,,简融易数,未融资,0-20人,北京·通州区·通州西门,"Python,数学/统计相关专业,机器学习算法/工程化经验,深度学习经验"
CTO（OS+AI）,1个月,本科,70-100K·16薪,,,某大型人力资源服务公司,不需要融资,100-499人,北京,"操作系统,人工智能,云边端一体化,算法,C/C++,操作系统生态,鸿蒙生态,aliOS"
科技编辑-人工智能方向,1个月,本科,15-30K,,,硅心科技,A轮,20-99人,北京·海淀区·中关村,"大模型,AIGC,人工智能"
AI助理,1个月,本科,8-13K,,,中科睿途,未融资,20-99人,北京·海淀区·西三旗,"大模型算法,大数据处理工具(Spark/Hadoop/Hive),人工智能"
ai项目经理（人工智能）,1个月,本科,15-25K,,,彩智科技,天使轮,100-499人,北京·海淀区·双安,"计算机相关专业,PMP,政务软件,人工智能"
人工智能开发,1个月,本科,100-150元/天,,,泓曦科技,计算机软件,0-20人,北京·西城区·广安门,"系统集成,其他类型SaaS/PaaS,农业信息化项目,计算机/通信相关专业,机械/电子工程相关专业,售前技术支持经验"
AI工程师,1个月,本科,150-300元/天,,,拍呗,未融资,0-20人,北京·顺义区·石园,"图形开发经验,音视频开发经验,流媒体开发经验,C++,Python,JavaScript,WebRTC,Metal,WebGL,音视频/流媒体开发,图形开发/渲染"
