数据分析师（应届）,1年以内,本科,14-15K·16薪,,,臻盛网络,不需要融资,100-499人,北京·海淀区·学院路,SQL
数据分析师,1年以内,本科,11-12K,,,微创软件,不需要融资,10000人以上,北京·海淀区·上地,"SQL,垂类分析"
数据分析师,1年以内,本科,300-400元/天,,,快手,已上市,10000人以上,北京·海淀区·西二旗,"经济/工商管理相关专业,电商/零售行业数据相关经验,SQL,Python,数学/统计相关专业"
数据分析师,1年以内,本科,15-20K·13薪,,,众城鸿运,互联网,20-99人,北京·朝阳区·高碑店,"Python,R,数学/统计相关专业,计算机相关专业,电商/零售行业数据相关经验"
数据分析师,1年以内,本科,10-15K·14薪,,,数美,D轮及以上,500-999人,北京·朝阳区·来广营,"SQL,Python"
数据分析师,1年以内,本科,200-210元/天,,,网易,已上市,10000人以上,北京·海淀区·上地,"SQL,Python,数学/统计相关专业,经济/工商管理相关专业,计算机相关专业"
校招-数据分析师,1年以内,本科,10-15K·13薪,,,博乐科技,B轮,500-999人,北京·朝阳区·奥运村,"SQL,R,Python,文娱/游戏行业数据相关经验,数据分析/挖掘经验,数学/统计相关专业"
数据分析师,1年以内,本科,200-250元/天,,,快手,已上市,10000人以上,北京·海淀区·上地,SQL
资深数据分析师,1年以内,本科,25-50K·15薪,,,北京字节跳动,不需要融资,10000人以上,北京·海淀区·苏州桥,Python
数据分析师,1年以内,本科,35-45K·14薪,,,某知名医疗健康上市公司,已上市,1000-9999人,北京,"医疗行业优先,数学相关专业,数据分析/挖掘经验,数学/统计相关专业"
数据分析师,1年以内,本科,25-30K·15薪,,,美团,已上市,10000人以上,北京·朝阳区·小营,"计算机相关专业,电商/零售行业数据相关经验,风控相关经验"
数据分析师,1年以内,本科,20-30K·16薪,,,京东科技集团,不需要融资,1000-9999人,北京,"SQL,Python"
资金数据分析师,1年以内,本科,10-15K,,,华企盾,天使轮,100-499人,北京·通州区·张家湾,"数据分析/挖掘经验,计算机相关专业,SQL,Python,数学/统计相关专业"
数据分析师,1年以内,本科,10-11K,,,聚合财务,计算机服务,20-99人,北京·海淀区·中关村,"参数检验,相关分析"
项目数据分析师,1年以内,本科,8-13K·13薪,,,剑鱼标讯,未融资,100-499人,北京·海淀区·万柳,"分析报告,数据分析/挖掘经验,计算机相关专业,SQL,Python,数学/统计相关专业"
数据分析师 国企正式编制,1年以内,本科,20-40K,,,某大型互联网金融公司,未融资,500-999人,北京,"SQL,Python,Tableau,数学/统计相关专业,计算机相关专业,数据分析/挖掘经验,数据分析国企正式编制,国企正式编制数据分析,数据分析师银行正编"
数据分析师,1年以内,本科,25-50K·14薪,,,Keep,D轮及以上,1000-9999人,北京·朝阳区·798,
数据分析师,1年以内,本科,30-60K·15薪,,,八月向上,互联网,1000-9999人,北京·朝阳区·西坝河,"数据分析,hive,数据建模,SQL,R,Python,数据挖掘"
