Java,在校/应届,本科,5-6K,,,东华软件股份公司,计算机软件,100-499人,大连·中山区·三八广场,"Java,Spring,SpringCloud,MySQL,不接受居家办公"
初级JAVA（短期项目）,在校/应届,本科,4-5K,,,阿尔泰克,未融资,500-999人,大连·甘井子区·辛寨子,"Java开发经验,Java,不接受居家办公,MySQL,MongoDB,后端工程师"
java实习生,在校/应届,本科,100-110元/天,,,云伴,未融资,20-99人,大连·甘井子区·七贤岭,Java
java实习生,在校/应届,本科,120-150元/天,,,大连东华,已上市,100-499人,大连·中山区·三八广场,"Java,Spring,MySQL,SQL Server,不接受居家办公"
Java实习生,在校/应届,本科,110-120元/天,,,利唐,A轮,100-499人,大连·沙河口区·东财,"Java,Spring,MyBatis,Java开发经验"
Java开发工程师-国内(J10028),在校/应届,本科,7-12K,,,东软集团,已上市,10000人以上,大连·甘井子区·高新园区,Java
java开发,在校/应届,本科,18-35K·13薪,,,大连慧习教育科技,计算机服务,0-20人,大连·甘井子区·万达,"Java,JavaScript,CSS,PHP,Scala,Ruby,VB,.NET"
资深java开发工程师,在校/应届,本科,20-30K,,,某大型计算机软件公司,计算机软件,100-499人,大连,"Java,JVM,SpringCloud,PostgreSQL,不接受居家办公"
Java开发工程师,在校/应届,本科,5-8K,,,辰派,计算机软件,20-99人,大连·甘井子区·高新园区,Java
Java初级岗位,在校/应届,本科,4-8K,,,凌致,计算机软件,100-499人,大连·甘井子区·高新园区,日语
Java软件工程师,在校/应届,本科,10-15K,,,击壤科技,A轮,20-99人,大连·金州区·开发区,"Java,分布式技术,搜索引擎技术,Spring,大数据,网络爬虫技术,Mybatis,MySQL"
java开发工程师,在校/应届,本科,7-10K,,,永洪科技,C轮,100-499人,大连·沙河口区·学府,"后端工程师,Java,MySQL,计算机/软件工程相关经验,Java开发经验"
Java/C++（应届毕业生）,在校/应届,本科,2-4K,,,思佰益（大连）,不需要融资,500-999人,大连·甘井子区·小平岛,"Java,C++,Spring,SpringCloud,MyBatis,MySQL,Redis,SQL Server"
初级java开发工程师,在校/应届,本科,6-9K,,,荣鹄,企业服务,20-99人,大连·沙河口区·星海湾,"Java,全栈工程师,不接受居家办公"
（校招）Java开发工程师,在校/应届,本科,7-12K,,,智达科技,未融资,500-999人,大连·甘井子区·高新园区,"Java开发经验,Java,不接受居家办公,后端工程师,Spring,计算机/软件工程相关经验"
初级java开发工程师,在校/应届,本科,20-21K,,,某大型计算机软件公司,不需要融资,100-499人,大连,"Java,Spring,Spark,MySQL,不接受居家办公"
软件开发工程师（应届生）,在校/应届,本科,6-8K,,,飞狼,未融资,20-99人,大连·甘井子区·高新园区,"Android,iOS,WEB"
软件开发实习生,在校/应届,本科,100-150元/天,,,西安摩栗科技有限公司,未融资,20-99人,大连·甘井子区·七贤岭,
java软件开发,在校/应届,本科,10-15K,,,富智科技,天使轮,500-999人,大连·金州区·开发区,"Java,Java开发经验"
Java Intern（Java 实习生）-IBIS,在校/应届,本科,7-10K,,,乐天创研,不需要融资,100-499人,大连·甘井子区·七贤岭,Java
对日java开发工程师,在校/应届,本科,7-12K,,,上海楚云,计算机软件,100-499人,大连·甘井子区·软件园,"Java,计算机/软件工程相关经验,Java开发经验"
初级java开发工程师,在校/应届,本科,15-25K,,,某大型计算机软件公司,计算机软件,500-999人,大连,"Java,Spring,MySQL"
JAVA开发实习生,在校/应届,本科,2-3K,,,云帆赢通,未融资,20-99人,大连·甘井子区·高新园区,"Java,Html+javascript+css"
