在校学生软件兼职,经验不限,学历不限,100-150元/时,,,云伴,未融资,20-99人,大连·甘井子区·七贤岭,"接受居家办公,Java,C++,C#,Spring,Nginx,Elasticsearch,MySQL,Redis,团队管理经验,大数据经验"
python工程师,经验不限,学历不限,5-8K·13薪,,,大连听潮科技,未融资,0-20人,大连·中山区·人民路,"Python,Nginx,MySQL,Redis,Linux开发/部署经验"
校招-前端开发工程师（2024）,经验不限,学历不限,5-6K,,,东华软件股份公司,计算机软件,100-499人,大连·中山区·三八广场,"HTML5,Node.js,不接受居家办公"
深度学习视觉算法工程师（初级岗）,经验不限,学历不限,6-11K,,,中科睿海研究院,未融资,20-99人,大连·甘井子区·凌水,"Python,算法设计,深度学习算法,视觉图像算法,TensorFlow,PyTorch"
急招-数据开发工程师-500强,经验不限,学历不限,7-9K,,,中电金信,B轮,10000人以上,大连·甘井子区·高新园区,"SQL,Hive,Spark,大数据"
Python开发实习生,经验不限,学历不限,150-200元/天,,,星睿融创,A轮,20-99人,大连,"爬虫,数据开发,Shell,Django,全栈开发经验,后端,计算机相关专业,Python,数学/统计相关专业"
python兼职,经验不限,学历不限,6-11K,,,大连博股通金,计算机软件,0-20人,大连·中山区·港湾广场,Python
Python开发工程师（兼职）,经验不限,学历不限,5000-15000元/月,,,火石科技,未融资,100-499人,大连·甘井子区·万达,"数据开发,后端,Python,计算机相关专业,服务端开发经验"
Python,经验不限,学历不限,3000-5000元/月,,,甘井子区未知计算...,计算机软件,0-20人,大连·甘井子区·大连湾,"Python,Django,Docker,MySQL,团队管理经验,架构设计经验,运维开发经验,Sqlserver ，django ，"
Python,经验不限,学历不限,5-8K,,,大连睿橙科技有限公司,天使轮,0-20人,大连·金州区·开发区,"机器学习工程经验,NoSQL,机器学习/算法工程,初级软件工程师,软件工程师,计算机相关专业,后端,数学/统计相关专业,Python"
python,经验不限,学历不限,6-10K,,,moolsnet,未融资,100-499人,大连·西岗区·唐山街,"后端,爬虫,机器学习/算法工程,Python"
Python,经验不限,学历不限,55-65元/时,,,大连埃菲尔文化发...,不需要融资,0-20人,大连·中山区·青云街,"机器学习工程经验,机器学习/算法工程,计算机相关专业,数学/统计相关专业,Python"
