兼职-AI数据标注,经验不限,学历不限,15-25元/时,,,河北鼎联科技有限公司,大数据,20-99人,大连·甘井子区·七贤岭,"兼职工作,数据标注,图片标注,标框标注,接受居家办公"
AI数据标注（短期项目，早九晚六，双休）,经验不限,学历不限,3-4K,,,纬创软件,已上市,1000-9999人,大连,"全职工作,数据标注,文本标注,语音标注"
AI数据采集整理,经验不限,学历不限,20-30元/时,,,华海智慧,未融资,20-99人,大连·西岗区·侯家沟,软件/信息技术项目
AI爱好者，AI助理,经验不限,学历不限,2-3K,,,大连臻果文化科技,培训/辅导机构,0-20人,大连·甘井子区·椒房,"广告/设计公司,AI,接受居家办公"
人工智能技术顾问管培生-日语方向,经验不限,学历不限,4-5K,,,澳鹏数据科技有限...,已上市,500-999人,大连·甘井子区·七贤岭,公司内部
ai数据标注师,经验不限,学历不限,4-9K,,,大连星禾云际科技,互联网,20-99人,大连·中山区·人民路,"全职工作,标注结果整理,数据标注,图片标注,文本标注,语音标注,区域标注,分类标注,标框标注,数据分析能力强,不接受居家办公"
量化研究员（高频人工智能方向）,经验不限,学历不限,20-30K,,,辽宁互动数字文化...,未融资,0-20人,大连·沙河口区·星海湾,互联网/科技
人工智能技术支持,经验不限,学历不限,8-12K·13薪,,,神州新桥,不需要融资,1000-9999人,大连·金州区·金石滩,Python
AI训练师,经验不限,学历不限,6-10K·13薪,,,沃丰科技,C轮,500-999人,大连·甘井子区·周水子,B端用户
AI 训练师,经验不限,学历不限,5-8K,,,灵伴即时,B轮,20-99人,大连·甘井子区·万达,"计算机相关专业,人机对话相关经验,语音识别工作经验"
时薪40-80 文本校正老师  可居家 时间自由,经验不限,学历不限,40-80元/时,,,诚如拟教育,未融资,20-99人,大连·甘井子区·七贤岭,"兼职,线上教育,中学生"
华为-大连-软件开发(待遇好/入职快),经验不限,学历不限,15-25K·15薪,,,华为技术有限公司,不需要融资,10000人以上,大连·沙河口区·软件园,"C,C++,Python,计算机相关专业,通信相关专业,嵌入式/单片机开发经验"
高级python开发工程师 人工智能方向,经验不限,学历不限,15-20K,,,得康智慧云网,计算机软件,20-99人,大连·中山区·港湾广场,"后端,数据开发,机器学习/算法工程,Python,计算机相关专业,服务端开发经验,机器学习工程经验"
AI产品经理（人工智能方向）,经验不限,学历不限,17-25K,,,信华信,计算机软件,10000人以上,大连·甘井子区·七贤岭,"B端产品,视觉类AI"
AI绘画师,经验不限,学历不限,7-10K,,,大连原泽文化传媒...,未融资,0-20人,大连·中山区·胜利广场,"影视美宣,插画设计,影视概念原画,AI绘画"
数据标注实习生,经验不限,学历不限,2-4K,,,新升科技,计算机服务,0-20人,大连·甘井子区·七贤岭,"全职工作,数据标注,标注结果抽查,图片标注,语音标注,文本标注,标框标注,描点标注,接受加班,不接受居家办公"
ai人工智能工程师,经验不限,学历不限,11-12K,,,大连承恩动漫有限公司,不需要融资,0-20人,大连·沙河口区·软件园,"Python,Django,Scrapy,Numpy,Hive,openai,OpenAI fine tuning ,LangChain"
联合创始人,经验不限,学历不限,10-20元/时,,,青也科技,游戏,0-20人,大连·中山区·人民路,"人工智能,游戏,创业型,不带团队,自带团队"
机器人竞赛教师,经验不限,学历不限,4-6K,,,艾格教学,未融资,0-20人,大连·中山区·解放路沿线,"机器人,教师,小班教学（3-25人）,线下教育,全职,信息学,坐班,中学生,理工科教育背景,人工智能,编程,学前儿童/小学生,一对一教学,普通话发音标准"
SD，AI出图,经验不限,学历不限,30-90元/天,,,榕扬设计,未融资,0-20人,大连·甘井子区·泉水,"企业/自有品牌,PS,不接受居家办公,SD，midjourney,AI绘图"
人工智能,经验不限,学历不限,18-23K·14薪,,,纵梦科技,不需要融资,20-99人,大连·金州区·开发区,"深度学习,机器学习,大模型算法,自然语言处理算法,多模态算法,Python,SQL,Shell,优秀开源项目经历"
ai 图像识别算法 ai统计分析,经验不限,学历不限,13-26K,,,掌沃数据,天使轮,20-99人,大连·甘井子区·高新园区,"深度学习算法,自然语言处理,视觉图像算法,搜索算法,Python,TensorFlow,PyTorch,人工智能"
Ai设计兼职,经验不限,学历不限,4-5K,,,百肤秀生物科技,未融资,0-20人,大连·中山区·胜利广场,"广告/设计公司,产品外观造型,包装材料开发,包装贴纸/插画设计"
外企 固定班次 带薪培训 六险一金,经验不限,学历不限,3-4K,,,澳鹏科技,不需要融资,1000-9999人,大连·甘井子区·高新园区,"全职工作,数据标注,标注方法优化,图片标注,文本标注,视频标注,分类标注"
设计工程师（AI新媒体方向）,经验不限,学历不限,7-12K·13薪,,,美恒电气,不需要融资,100-499人,大连·甘井子区·高新园区,"视觉设计,AI,设计主管,设计师,Midjourney"
AI原画师,经验不限,学历不限,6-10K,,,玲利传媒,文化艺术/娱乐,20-99人,大连·沙河口区·春柳,"分镜绘画,影视概念原画,游戏角色原画,影视公司"
AI游戏美术设计师,经验不限,学历不限,5-10K,,,意普天下游戏美术,A轮,20-99人,大连·西岗区·站北,"AI游戏美术,AI游戏场景,AI概念设计"
数据标注员,经验不限,学历不限,3-6K,,,大连东合茂科技发展,不需要融资,0-20人,大连·中山区·人民路,"数据标注,图片标注,文本标注,语音标注,区域标注,分类标注,标框标注"
Python开发实习生,经验不限,学历不限,150-200元/天,,,星睿融创,A轮,20-99人,大连,"爬虫,数据开发,Shell,Django,全栈开发经验,后端,计算机相关专业,Python,数学/统计相关专业"
建设设计,经验不限,学历不限,7-8K,,,律诚,不需要融资,0-20人,大连·甘井子区·华南,"施工图设计师,民用建筑"
