信息数据统计员,经验不限,学历不限,150-200元/天,,,辰言商贸,办公用品及设备,0-20人,大连·沙河口区·白山路,仔细认真
兼职-AI数据标注,经验不限,学历不限,15-25元/时,,,河北鼎联科技有限公司,大数据,20-99人,大连·甘井子区·七贤岭,"兼职工作,数据标注,图片标注,标框标注,接受居家办公"
财务分析,经验不限,学历不限,20-21K,,,某大型餐饮公司,不需要融资,100-499人,大连,财务数据分析
大数据,经验不限,学历不限,20-30K,,,某大型计算机软件公司,计算机软件,100-499人,大连,Kafka
数据标注（提供住宿、双休）,经验不限,学历不限,5-7K,,,港荣文化,互联网,20-99人,大连·沙河口区·白山路,"全职工作,标注方法优化,数据标注,标注结果整理,视频标注,图片标注,文本标注,区域标注,标框标注,分类标注,数据分析能力强,不接受居家办公"
AI数据标注（短期项目，早九晚六，双休）,经验不限,学历不限,3-4K,,,纬创软件,已上市,1000-9999人,大连,"全职工作,数据标注,文本标注,语音标注"
数据开发实习生,经验不限,学历不限,110-130元/天,,,大连东华,已上市,100-499人,大连·中山区·三八广场,计算机相关专业
数据专员,经验不限,学历不限,6-8K,,,中升集团,已上市,10000人以上,大连·沙河口区·辽师,"业务数据分析,业务模式/运营策略优化,竞品分析,数据分析/商业分析经验,统计/数学相关专业,金融/经济相关专业,计算机相关专业"
大数据开发工程师/数据分析,经验不限,学历不限,6-8K·13薪,,,德勤,不需要融资,10000人以上,大连·甘井子区·高新园区,"Python,Hadoop,Spark,Kafka,Tableau,ETL,Bigdata,Power BI"
财经数据分析,经验不限,学历不限,4-5K·13薪,,,Infosys,已上市,10000人以上,大连·甘井子区·高新园区,"财务分析,BPO,英语,外企,会计,财务,英语四级"
数据分析,经验不限,学历不限,5-10K,,,甘井子万达广场香...,服装/纺织,100-499人,大连·中山区·解放路沿线,"业务数据分析,业务模式/运营策略优化,数据仓库,统计/数学相关专业,计算机相关专业,投放数据分析,数据分析/商业分析经验,行业数据分析,销售数据运营"
数据分析师,经验不限,学历不限,5-6K,,,达晨科技,不需要融资,20-99人,大连·甘井子区·高新园区,"计算机相关专业,数据分析/挖掘经验,电商/零售行业数据相关经验,数据分析,支付"
数据分析,经验不限,学历不限,4-6K,,,阿尔泰克,未融资,500-999人,大连·甘井子区·七贤岭,"数据分析/挖掘经验,计算机相关专业,SQL"
急招-数据开发工程师-500强,经验不限,学历不限,7-9K,,,中电金信,B轮,10000人以上,大连·甘井子区·高新园区,"SQL,Hive,Spark,大数据"
数据分析师,经验不限,学历不限,50-100元/天,,,睿亭信息咨询,未融资,20-99人,大连·甘井子区·七贤岭,"SQL,Python,Hive,计算机相关专业"
数据标注实习生,经验不限,学历不限,2-4K,,,新升科技,计算机服务,0-20人,大连·甘井子区·七贤岭,"全职工作,数据标注,标注结果抽查,图片标注,语音标注,文本标注,标框标注,描点标注,接受加班,不接受居家办公"
数据分析师,经验不限,学历不限,4-8K·13薪,,,知道科技,A轮,100-499人,大连·甘井子区·高新园区,"计算机相关专业,数学/统计相关专业,数据分析,数据挖掘"
数据分析师,经验不限,学历不限,8-12K,,,信华信,计算机软件,10000人以上,大连·甘井子区·七贤岭,"SQL,Python,数学/统计相关专业,数据分析/挖掘经验,计算机相关专业"
数据分析（双休，五险一金）,经验不限,学历不限,4-5K,,,桔子数科,B轮,1000-9999人,大连·甘井子区·高新园区,业务数据分析
数据分析师,经验不限,学历不限,5-9K,,,大连胜利广场华千...,服装/纺织,20-99人,大连·中山区·解放路沿线,"数据分析/挖掘经验,电商/零售行业数据相关经验"
数据分析师-大连,经验不限,学历不限,8-13K,,,北信融创科技,未融资,20-99人,大连·中山区·中山广场,SQL
量化分析师,经验不限,学历不限,5-6K,,,石基信息,未融资,0-20人,大连·西岗区·民权,期权股票期货量化研究
数据专员,经验不限,学历不限,5-6K,,,世纪天语,咨询,500-999人,大连·沙河口区·西安路,"不接受居家办公,业务模式/运营策略优化,数据分析/商业分析经验"
证券分析师研究员,经验不限,学历不限,20-40K,,,济南元政私募基金管理,A轮,20-99人,大连·沙河口区·星海广场,"卖方行研经验,宏观经济研究,上肢残疾,数据挖掘和分析为主,肢体残疾,股票研究,掌握Python/R语言/Matlab等一种或多种数据科学技能,基金公司,投融资经验,行业及金融复合背景,擅长宏观经济/政策研究,可兼职"
大数据分析师,经验不限,学历不限,6-10K·13薪,,,辽宁卓信普惠征信服务,未融资,20-99人,大连·中山区·胜利广场,"Python,R,SQL,数据分析/挖掘经验,机器学习建模经验,金融行业数据相关经验"
数据统计分析专员,经验不限,学历不限,5-6K,,,中瓷艺术,不需要融资,20-99人,大连·沙河口区·星海湾,"业务数据分析,投放数据分析,竞品分析,数据分析/商业分析经验,财务/审计工作经验,统计/数学相关专业,不接受居家办公"
【文职】Excel数据专员-早九晚六,经验不限,学历不限,4-6K,,,金慧科技,已上市,10000人以上,大连·旅顺口区·黄泥川,"不接受居家办公,Excel"
数据分析师,经验不限,学历不限,10-12K·13薪,,,信生科技,不需要融资,20-99人,大连·中山区·人民路,"数据挖掘,数据分析,数据处理"
英日双语数据分析（BPO）,经验不限,学历不限,5-7K·13薪,,,鸿鹄建设,装修装饰,20-99人,大连·甘井子区·生态新城,"全职,坐班,笔译,BEC 证书,专业八级,雅思6.5分及以上,外资企业工作经历,英语国家留学经历,英语专业,BPO,日语专业,日语N2"
数据分析师,经验不限,学历不限,120-130元/天,,,澳鹏数据科技有限...,已上市,500-999人,大连·甘井子区·高新园区,"人工智能,数据,标注"
化验分析员,经验不限,学历不限,3-7K,,,科立恩,化工,0-20人,大连·金州区·开发区,化学检测
金融分析员,经验不限,学历不限,6-8K,,,大连斗金安全咨询服务,投资/融资,20-99人,大连·甘井子区·高新园区,股权投资或二级市场投资职位
数据分析,经验不限,学历不限,4-5K,,,智管家,未融资,20-99人,大连·沙河口区·太原街,数据分析
数据分析师,经验不限,学历不限,4-6K,,,神州租车,生活服务,100-499人,大连·甘井子区·华南,数据分析
数据分析专员,经验不限,学历不限,6-8K·14薪,,,艾比特,未融资,100-499人,大连·甘井子区·生态新城,泰语
AI数据采集整理,经验不限,学历不限,20-30元/时,,,华海智慧,未融资,20-99人,大连·西岗区·侯家沟,软件/信息技术项目
Python数据分析师,经验不限,学历不限,7-10K·13薪,,,星睿融创,A轮,20-99人,大连,"Shell,数据分析/挖掘经验,计算机相关专业,SQL,Python,数学/统计相关专业"
（校招）需求分析师/产品助理,经验不限,学历不限,10-13K,,,智达科技,未融资,500-999人,大连·甘井子区·高新园区,B端产品
数据专员,经验不限,学历不限,3-4K,,,大连宝奕供应链管理,不需要融资,20-99人,大连·金州区·安盛,五险一金
数据分析专员,经验不限,学历不限,6-9K·15薪,,,双迪研究院,未融资,100-499人,大连·西岗区·民权,"SQL,Python,Power BI,数据分析/挖掘经验,电商/零售行业数据相关经验"
