后端Python实习生,6个月,大专,130-180元/天,,,黑色音素,未融资,0-20人,杭州·钱塘区·和达东东城,"Python,Numpy,Pandas,MySQL"
Python开发实习生,6个月,大专,200-400元/天,,,杭州创呗网络科技...,A轮,20-99人,杭州·滨江区·长河,"Java,Python,C#,C++"
Python初级开发(实习后转正),6个月,大专,170-280元/天,,,云迪,不需要融资,20-99人,杭州,"后端,Python,Flask,计算机相关专业,全栈开发经验,英语读写能力良好"
python/深度学习工程师,6个月,大专,20-150元/时,,,小嘟漫道,不需要融资,0-20人,杭州·钱塘区·义蓬,"Python,Numpy,PyTorch,TensorFlow,Hive"
Python实习生,6个月,大专,200-250元/天,,,浙江阜博传媒科技,已上市,100-499人,杭州·余杭区·仓前,"Python,Django,Flask,计算机相关专业"
python（接受23届）,6个月,大专,20-40K,,,某500强上市公司,不需要融资,10000人以上,杭州,"后端,Python,计算机相关专业"
python开发工程师，接受应届,6个月,大专,15-30K·14薪,,,华为,不需要融资,10000人以上,杭州·滨江区·长河,"Python,Java,C/C++"
python/matlab工程师（线上兼职工作）,6个月,大专,1000-4000元/周,,,永力信息,未融资,20-99人,杭州,"后端,爬虫,Python"
Python技术支持(A172458),6个月,大专,8-13K·15薪,,,分叉智能科技,C轮,100-499人,杭州·余杭区·仓前,"Python,Scrapy,Pandas,Selenium,MySQL,Redis,爬虫经验"
python(培养）,6个月,大专,5-10K,,,浙江掌玉科技有限公司,不需要融资,20-99人,杭州·拱墅区·上塘,"后端,数据开发,Python,PHP,Django,计算机相关专业,数学/统计相关专业,机器学习工程经验"
python开发实习生（可转正，短期勿扰）,6个月,大专,150-300元/天,,,杭州勤鼎科技有限公司,计算机服务,20-99人,杭州,"后端,Python"
python开发实习生,6个月,大专,180-190元/天,,,苡桐网络,计算机软件,0-20人,杭州·余杭区·仓前,"后端,Python,计算机相关专业"
Python兼职,6个月,大专,1-2K,,,铁公宝,移动互联网,20-99人,杭州·上城区·四季青,"Python,MySQL,Flask,Web端,Linux,自然语言处理,Redis,搜索引擎技术"
Python（视频面试，双休）,6个月,大专,15-30K·14薪,,,华为技术有限公司,不需要融资,10000人以上,杭州·滨江区·长河,Python
Python,6个月,大专,200-250元/天,,,韧科,未融资,0-20人,杭州·西湖区·三墩,"后端,Python,计算机相关专业"
Python开发（校招）,6个月,大专,8-13K,,,美登,不需要融资,100-499人,杭州·拱墅区·城西银泰城,"Python,Django,Tornado,Flask,Oracle"
Python开发师,6个月,大专,15-30K,,,考啦旅行,旅游,0-20人,杭州·萧山区·北干,"搜索引擎技术,网络爬虫技术,多线程,网络编程,虚拟机技术"
Python后端开发兼职,6个月,大专,80-150元/时,,,公钥科技,未融资,20-99人,杭州·滨江区·长河,"Django,MySQL,Linux开发/部署经验,Python,solidity"
Python/matlab工程师,6个月,大专,1000-4000元/周,,,岩旭科技,不需要融资,20-99人,杭州,"Python,Django,PyTorch,MySQL,Oracle,PostgreSQL,爬虫经验,机器学习经验,云计算经验"
Python开发工程师,6个月,大专,15-30K,,,杭州金时,未融资,20-99人,杭州·西湖区·文二路,"机器学习工程经验,数据开发,计算机相关专业,Python,数学/统计相关专业"
测试开发（python）,6个月,大专,150-190元/天,,,虹软科技,已上市,500-999人,杭州·滨江区·长河,"Java,python,测试开发"
平台开发实习生（Python方向）,6个月,大专,200-250元/天,,,网易游戏,已上市,10000人以上,杭州·滨江区·长河,"Python,Django,Flask,MySQL,MongoDB,Linux开发/部署经验"
Python 实习生,6个月,大专,100-200元/天,,,杭州归一智能科技,天使轮,0-20人,杭州·余杭区·仓前,"Python,Flask,MySQL,爬虫经验,运维开发经验"
Python初级开发,6个月,大专,8-13K·13薪,,,仓澍,互联网,20-99人,杭州·滨江区·浦沿,"python,后端"
Python后端开发工程师,6个月,大专,6-9K,,,加雷科技,未融资,0-20人,杭州·萧山区·建设一路,"数据库,Python"
python开发工程师,6个月,大专,6-8K,,,微风企科技,A轮,100-499人,杭州·西湖区·西溪,"Python,计算机相关专业"
java/python/c++/c开发工程师（全国可推),6个月,大专,15-30K·15薪,,,华为,不需要融资,10000人以上,杭州·滨江区·长河,"Python,Golang,C/C++"
Python 后端开发实习生,6个月,大专,100-200元/天,,,企研数据,未融资,0-20人,杭州·钱塘区·下沙,"后端,Flask,MySQL,Django,计算机相关专业"
