简直GPT训练师，人工智能训练师，AI训练师,经验不限,本科,100-150元/时,,,朋兀,社交网络与媒体,0-20人,杭州·拱墅区·德胜,"深度学习,强化学习,自然语言处理算法,分布式训练,算法工程化经验"
AI平台产品经理,经验不限,本科,15-20K,,,格物见微,不需要融资,20-99人,杭州·西湖区·黄龙,"B端产品,机器学习类AI,视觉类AI,AI机器人"
AI产品助理,经验不限,本科,8-12K·15薪,,,视见睿来,A轮,20-99人,杭州·滨江区·长河,C端产品
兼职人工智能AI开发工程师,经验不限,本科,14000-15000元/月,,,杭州紫蝶,不需要融资,20-99人,杭州·拱墅区·小河,"机器学习,大模型算法,图像算法,推荐算法,Python,Java,算法工程化经验,团队管理经验,优秀开源项目经历,ai,人工智能,深度学习"
高级投资助理（人工智能、机器人方向）,经验不限,本科,8-13K,,,杭州惟和资产管理...,投资/融资,0-20人,杭州·上城区·四季青,"计算机,人工智能"
大客户代表【人工智能】,经验不限,本科,15-30K,,,飞步科技,B轮,100-499人,杭州·西湖区·西溪,"新客户开发,互联网/科技,物流交通,较多出差,B端市场开发经验,面销/陌拜经验,商务谈判技巧,TOB,TOG"
AI产品经理实习生,经验不限,本科,200-300元/天,,,杭州炎魂网络,不需要融资,100-499人,杭州·滨江区·浦沿,"RAG,LLM"
人工智能训练师,经验不限,本科,16-27K·13薪,,,阿里巴巴集团,已上市,10000人以上,杭州·余杭区·仓前,"平台类,B端产品,C端产品,数据分析能力好,不接受居家办公"
AI模型训练师/助理,经验不限,本科,15-18K·13薪,,,飞乐时,不需要融资,100-499人,杭州·滨江区·浦沿,图像生成
AI测试工程师,经验不限,本科,200-250元/天,,,华为技术有限公司,不需要融资,10000人以上,杭州·滨江区·西兴,"C++,Shell,自动化测试,深度学习,功能测试,AI,人工智能,计算机相关专业,Python"
ai产品经理,经验不限,本科,7-12K,,,杭州云犀星河科技,互联网,20-99人,杭州·上城区·秋涛路沿线,Ai产品经理
ai训练师,经验不限,本科,12-18K,,,杭州雯旺文化传媒,不需要融资,0-20人,杭州·西湖区·三墩,"Stabl Diffusion,大模型算法,参加算法相关竞赛/获奖,Lora训练,Python,推荐算法"
人工智能媒体编辑,经验不限,本科,150-200元/天,,,散夜,游戏,0-20人,杭州·拱墅区·新天地,"快速涨粉,不接受居家办公,高质量原创,网感好,短视频平台,B站,人工智能,AI,资讯,视频,不接受兼职"
项目经理助理（AI数据）,经验不限,本科,12-20K,,,虹软科技,已上市,500-999人,杭州·滨江区·长河,"计算机相关专业,软件研发经验,中大型软件项目管理经验,人工智能,研发,测试"
AI数字人代播,经验不限,本科,5-6K,,,杭州普特教育,不需要融资,100-499人,杭州·萧山区·宁围,"内容运营,不接受居家办公,跨境电商运营,产品运营"
ai训练师,经验不限,本科,12-16K,,,博彦科技,已上市,10000人以上,杭州·西湖区·西溪,"全职工作,标注方法优化,数据标注,标注数据分析,视频标注,图片标注,文本标注,区域标注,分类标注,标框标注,数据分析能力强,AI,英语,数据清洗"
软件开发（AI方向）,经验不限,本科,6-9K,,,泰兰尼斯,未融资,1000-9999人,杭州,"Java,Python,C/C++,计算机相关专业,数据分析,数据库分析,软件开发"
AI测试工程师,经验不限,本科,15-30K,,,华为,不需要融资,10000人以上,杭州·滨江区·长河,"功能测试,自动化测试"
AI训练师,经验不限,本科,150-250元/天,,,红蜻蜓,已上市,1000-9999人,杭州,"SQL,AIGC,逻辑能力,条理性"
AI产品运营,经验不限,本科,12-13K,,,深圳易宝软件有限公司,已上市,1000-9999人,杭州·余杭区·仓前,"C端产品,PRD编制能力,数据分析能力好,原型图编制能力,接受居家办公"
AI开发实习生,经验不限,本科,150-200元/天,,,施强教育科技,不需要融资,1000-9999人,杭州·滨江区·长河,"深度学习,机器学习,大模型算法,图像算法,自然语言处理算法,语音算法,Python,分布式训练,优秀开源项目经历"
ai产品经理,经验不限,本科,15-25K,,,某大型移动互联网公司,A轮,100-499人,杭州,"营销类ai产品,零售行业ai产品"
人工智能训练师实习生,经验不限,本科,100-150元/天,,,网易,已上市,10000人以上,杭州·滨江区·长河,"数据标注,标注数据分析,标注结果整理,文本标注,语音标注,越南语,日语,英语"
猎头顾问/主管（互联网/消费品人工智能等）,经验不限,本科,7-12K,,,杭州黑云杉企业管...,不需要融资,100-499人,杭州·西湖区·高新文教区,"消费品,互联网/科技,金融,研发岗,产品岗,人力岗"
AI 数据标注实习生,经验不限,本科,140-160元/天,,,Fancy,B轮,100-499人,杭州·西湖区·文二路,"图片标注,语音标注,文本标注,标注结果抽查,标注结果整理,数据标注,分类标注"
ai产品经理,经验不限,本科,25-45K·14薪,,,同花顺,已上市,1000-9999人,杭州·余杭区·五常,"数据处理,大模型,金融"
AI产品经理,经验不限,本科,15-16K,,,乐维创新,不需要融资,20-99人,杭州·西湖区·西溪,"机器学习类AI,产品策划,AIGC"
ai产品经理,经验不限,本科,10-15K,,,锐鲨科技,未融资,100-499人,杭州·西湖区·西溪,"B端产品,ai数据智能"
ai训练工程师,经验不限,本科,10-15K,,,杭州才奕信息咨询,计算机软件,20-99人,杭州,"Python,机器学习算法/工程化经验"
副总经理-人工智能（IDC）,经验不限,本科,80-110K,,,某计算机软件公司,不需要融资,20-99人,杭州,"人工智能,互联网,IDC,数据中心,机房"
