数据分析师,1-3年,本科,15-25K·13薪,,,启元世界,A轮,100-499人,杭州·西湖区·西溪,SQL
数据分析师（应届生可投）,1-3年,本科,12-15K·13薪,,,CP集团,不需要融资,100-499人,杭州·西湖区·西溪,数据分析/挖掘经验
数据分析师,1-3年,本科,5-10K,,,杭州昕远企业管理,其他专业服务,0-20人,杭州·上城区·丁桥,"数学/统计相关专业,经济/工商管理相关专业,数据分析/挖掘经验"
数据分析师,1-3年,本科,8-10K·14薪,,,年糕妈妈,B轮,100-499人,杭州·西湖区·古荡,"Python,SQL"
数据分析师,1-3年,本科,12-18K·13薪,,,Ulike,未融资,1000-9999人,杭州·滨江区·长河,"数学/统计相关专业,竞品分析"
数据分析师（九堡）,1-3年,本科,8-9K·13薪,,,繁胜科技,未融资,100-499人,杭州·上城区·九堡,"SQL,VBA"
数据分析师,1-3年,本科,200-250元/天,,,拓端tecdat,未融资,0-20人,杭州·钱塘区·高沙商业街,"R,MATLAB,Python"
数据分析师,1-3年,本科,5-8K,,,杭州汇贤,不需要融资,100-499人,杭州·萧山区·建设三路,"电商/零售行业数据相关经验,数据分析/挖掘经验,数学/统计相关专业"
数据分析师,1-3年,本科,20-21K,,,某计算机服务公司,B轮,20-99人,杭州,"SQL,Python,Hive,数据分析/挖掘经验,数据建模,工业,光电储能"
数据分析师（管培生）,1-3年,本科,7-12K,,,人马文化,未融资,100-499人,杭州·滨江区·长河,"SQL,Python,R,数学/统计相关专业,计算机相关专业,经济/工商管理相关专业"
数据分析师【24届】,1-3年,本科,11-16K·14薪,,,万兴科技,已上市,1000-9999人,杭州·西湖区·文二路,"Python,SQL,数学/统计相关专业,计算机相关专业,数据分析/挖掘经验"
数据分析师/数据分析经理,1-3年,本科,12-24K·13薪,,,老百姓大药房,已上市,10000人以上,杭州·拱墅区·康桥,"SQL,电商/零售行业数据相关经验,数据分析/挖掘经验,数学/统计相关专业"
数据分析师,1-3年,本科,5-7K,,,CTIT,未融资,0-20人,杭州·上城区·南星,Python
数据分析师,1-3年,本科,20-40K,,,某大型知名投资公司,未融资,10000人以上,杭州,"数学/统计相关专业,数据分析/挖掘经验,计算机相关专业"
数据分析师（杭州）,1-3年,本科,13-21K,,,橙色魔方,未融资,500-999人,杭州·滨江区·浦沿,"数学/统计相关专业,计算机相关专业,Python,SQL"
天猫超市-数据分析师-杭州-GP1018135,1-3年,本科,9-14K·16薪,,,阿里巴巴集团,已上市,10000人以上,杭州·余杭区·五常,数学/统计相关专业
业务部门数据分析师,1-3年,本科,6-7K,,,织云科技,不需要融资,100-499人,杭州·西湖区·西溪,"数据分析/挖掘经验,数学/统计相关专业"
