招聘大学生Python实习生,3个月,本科,60-120元/天,,,无夕教育科技,计算机服务,0-20人,深圳·南山区·科技园,"Python,Numpy,MySQL,逻辑思维能力强；上进心强"
python！开发（接受23届）,3个月,本科,25-40K·14薪,,,某500强上市公司,D轮及以上,1000-9999人,深圳,"Python,Java,C/C++"
Python后端实习生（远程实习；200元/天）,3个月,本科,150-200元/天,,,晓语科技,互联网,0-20人,深圳·福田区·车公庙,"Python,Flask,MySQL"
python实习工程师,3个月,本科,6-11K·15薪,,,华世智能,天使轮,20-99人,深圳,"web前端,PyTorch,机器学习/算法工程,Django,后端,计算机相关专业,Python,图形图像处理"
人工智能python开发,3个月,本科,10-15K·15薪,,,超思维智能,天使轮,0-20人,深圳·南山区·大学城,"Python,Flask,PyTorch,TensorFlow,MySQL,Linux开发/部署经验,爬虫经验,机器学习经验"
Python 实习生,3个月,本科,3-8K,,,朱氏佳民科技,未融资,0-20人,深圳·龙岗区·布吉,"Python,Flask,MySQL"
系统研发实习生（Python）,3个月,本科,360-420元/天,,,Momenta,C轮,500-999人,深圳·坪山区·坪山,"Python,PyTorch,MySQL"
python 校招,3个月,本科,8-13K·16薪,,,芯行,B轮,0-20人,深圳·龙岗区·坂田,"机器学习/算法工程,数据开发,爬虫,Python,TensorFlow,PyTorch,计算机相关专业,全栈开发经验,机器学习工程经验"
python 初级工程师（可接受实习生）,3个月,本科,6-11K,,,谷尚,移动互联网,20-99人,深圳·龙华区·大浪,Python
Python开发/测试开发,3个月,本科,18-35K·15薪,,,北京外企德科人力...,不需要融资,1000-9999人,深圳·龙岗区·坂田,"Python,PyTorch,MySQL"
Python（线上面试，接收应届生）,3个月,本科,15-30K·14薪,,,华为技术有限公司,不需要融资,10000人以上,深圳·龙岗区·坂田,Python
Python爬虫实习生,3个月,本科,200-300元/天,,,安点科技,未融资,20-99人,深圳·宝安区·西乡,"Python,Docker,Redis,MySQL,爬虫经验,量化交易开发经验"
python开发工程师，接受应届,3个月,本科,15-30K·15薪,,,华为,不需要融资,10000人以上,深圳·龙岗区·坂田,"Python,Java,C/C++"
python开发   双休+六险一金,3个月,本科,10-13K,,,法本,已上市,10000人以上,深圳·南山区·科技园,"Python,Django,Docker,MySQL,不限"
matlab/python工程师（线上兼职工作）,3个月,本科,1500-3000元/周,,,永力信息,未融资,20-99人,深圳·盐田区·盐田港,"后端,爬虫,机器学习/算法工程,Python,Java,C/C++,机器学习工程经验,全栈开发经验,爬虫经验,matlab"
Python开发工程师,3个月,本科,6-8K,,,普云科技,天使轮,0-20人,深圳·龙华区·油松,"Python,Golang,Numpy,Flask,MongoDB,Redis,MySQL,Linux开发/部署经验,运维开发经验,分布式经验"
Python,3个月,本科,6-7K,,,好奇谷,不需要融资,0-20人,深圳·南山区·华侨城,Python
深圳：python技术员,3个月,本科,6-11K,,,升辉工艺,未融资,100-499人,深圳·龙华区·龙华,"python,项目管理,团队管理"
【兼职】Python后端开发,3个月,本科,3000-6000元/月,,,钛谱,天使轮,0-20人,深圳·福田区·福田保税区,"Python,Django,Docker,Nginx,MySQL,PostgreSQL"
python后端开发实习生,3个月,本科,150-200元/天,,,翻江倒海,天使轮,20-99人,深圳·南山区·华侨城,"Python,Java,Django,Flask,MongoDB,后端开发"
Python/matlab工程师 （线上兼职工作）,3个月,本科,1000-4000元/周,,,岩旭科技,不需要融资,20-99人,深圳·福田区·车公庙,"Python,Django,Docker,PyTorch,MySQL,Oracle,PostgreSQL,爬虫经验,机器学习经验,云计算经验"
Python 后端工程师（接收优秀应届生）,3个月,本科,8-13K,,,翼果科技,A轮,100-499人,深圳·南山区·科技园,"网络爬虫技术,Unix,Linux,Scrapy,Django,Flask,NoSQL,PostgreSQL"
Python,3个月,本科,20-21K,,,祥势科技,电子商务,0-20人,深圳·南山区·科技园,"Python,Numpy,Spark,Hive"
python开发实习生,3个月,本科,300-450元/天,,,领寻,A轮,20-99人,深圳·南山区·科技园,"Python,Flask,MySQL,后端,ChatGPT,AI"
Python/Java技术员,3个月,本科,8-10K·13薪,,,深圳东金首创投资...,不需要融资,20-99人,深圳·宝安区·宝安中心区,"Python,Java,Numpy,Pandas,Docker,MySQL,MongoDB"
python大数据开发工程师,3个月,本科,10-15K,,,软通动力,已上市,10000人以上,深圳·龙岗区·坂田,"Python,Pandas,Hadoop,Spark,Linux开发/部署经验,爬虫经验,数据清洗"
Python实习生-GPT/大模型,3个月,本科,180-300元/天,,,深圳市爱多云软件...,天使轮,0-20人,深圳·南山区·大学城,"后端,Python,TensorFlow,GPT,LLM,大模型"
python全栈工程师,3个月,本科,8-13K,,,人马投资,不需要融资,0-20人,深圳·罗湖区·东门,"Python,Flask,MySQL"
python实习生,3个月,本科,200-250元/天,,,领寻,不需要融资,20-99人,深圳·南山区·科技园,"后端,Python,Flask,MySQL,计算机相关专业"
python开发工程师（大厂急招-周末双休）,3个月,本科,20-40K·16薪,,,某大型互联网上市集团公司,不需要融资,10000人以上,深圳,"后端,数据开发,Python,计算机相关专业,全栈开发经验"
python开发工程师(J24099),经验不限,本科,15-23K,,,华大研究院,未融资,1000-9999人,深圳·盐田区·梅沙,"Python,Numpy,Hive,Linux开发/部署经验"
python MySQL工程师,经验不限,本科,3-7K,,,鹏达软件,不需要融资,0-20人,深圳·龙岗区·双龙,"MySQL,SQL,网络爬虫技术,Linux,SQL Server,Flask,软件工程师,Visual Studio"
python工程师,经验不限,本科,15-30K·13薪,,,新旭网络,天使轮,100-499人,深圳·龙华区·龙华,"数据开发,机器学习/算法工程,运维开发,Python,TensorFlow,PyTorch,不限,计算机相关专业,机器学习工程经验,C++,inferencing,Linux"
python开发工程师（六险一金+双休）,经验不限,本科,16-18K,,,纬创软件,已上市,1000-9999人,深圳·南山区·科技园,"Python,Django,Flask,Tornado,PostgreSQL,python"
python高级开发工程师,经验不限,本科,12-15K,,,上海达学信息科技,未融资,20-99人,深圳·罗湖区·东门,"Python,TensorFlow,Oracle,爬虫经验,机器学习经验"
python工程师（可远程）,经验不限,本科,15-30K,,,vika维格,A轮,100-499人,深圳·南山区·科技园,"Python,Java,LangChain"
python测试开发工程师,经验不限,本科,13-23K,,,中软国际,已上市,10000人以上,深圳·南山区·大学城,"Python,Python测试开发,自动化"
python程序员（自动化开发）,经验不限,本科,7-12K,,,惠群商业数据,B轮,100-499人,深圳·南山区·科技园,"Python,自动化运维开发,自动化测试开发"
Python开发,经验不限,本科,20-25K·15薪,,,某基金公司,基金,0-20人,深圳,"MySQL,架构师,python"
Python,经验不限,本科,28-55K,,,境远信息科技,天使轮,20-99人,深圳·福田区·车公庙,"Python,Flask,Scrapy,Django,MySQL,团队管理经验,架构设计经验"
Python开发（线上面试+快速到岗）,经验不限,本科,15-20K,,,上海瑞应人才科技,计算机软件,500-999人,深圳·南山区·西丽,"Python,Django,MySQL,Linux开发/部署经验"
python,经验不限,本科,14-16K,,,速杰为,互联网,0-20人,深圳·福田区·华强南,"Python,Scrapy,MySQL,爬虫经验"
python开发,经验不限,本科,15-25K,,,诚迈科技,已上市,1000-9999人,深圳·福田区·华强南,"Python,Pandas,Redis,Oracle,MongoDB,Linux开发/部署经验"
急招python-统招学信网-核心部门长期稳定,经验不限,本科,16-21K,,,上海舟恩信息,不需要融资,100-499人,深圳·南山区·科技园,"Python,C,Java,Django,Flask,Redis,Linux开发/部署经验,分布式经验,金融"
Python编程老师,经验不限,本科,10-15K,,,小码教育,C轮,1000-9999人,深圳·龙岗区·龙岗中心城,"爬虫,Python,C/C++,计算机相关专业,SQL,Python老师,老师"
python开发工程师,经验不限,本科,15-25K,,,上海朋熙,不需要融资,100-499人,深圳·龙岗区·平湖,"Python,半导体,K8S,智能制造"
python开发工程师,经验不限,本科,12-19K,,,赛意信息,已上市,10000人以上,深圳·龙岗区·坂田,"Python,Kubernetes,PostgreSQL,云计算经验,SQL,NoSQL,linux"
Python工程师（深圳）,经验不限,本科,13-19K,,,本根科技,未融资,100-499人,深圳·南山区·科技园,"Golang,爬虫经验,PyTorch,负载均衡,网络虚拟化产品,Oracle,Python,Open"
python开发,经验不限,本科,9-12K,,,微创软件,不需要融资,10000人以上,深圳·南山区·科技园,"C++,Python,Django,MySQL,运维开发经验"
15k+python应用开发+双休不加班+国企待遇,经验不限,本科,11-16K·13薪,,,上海优泉,D轮及以上,1000-9999人,深圳·福田区·石厦,"Python,Django,Hive,架构设计经验,量化交易开发经验"
中高级python开发工程师,经验不限,本科,9-14K,,,深圳天空树科技有...,在线教育,0-20人,深圳·宝安区·西乡,"Python,Scrapy,Numpy,Pandas,MySQL,Oracle,爬虫经验,机器学习经验,量化交易开发经验"
python软件工程师,经验不限,本科,15-30K·15薪,,,深圳市新凯来技术,不需要融资,500-999人,深圳·龙岗区·坂田,"后端,Python,ATE,自动化"
Python,经验不限,本科,12-24K,,,深圳市宇宙视界技术,计算机软件,20-99人,深圳·南山区·科技园,"Python,PyTorch,Pandas,MongoDB,Hadoop,PostgreSQL,分布式经验,爬虫经验,机器学习经验"
【深圳】Python系统开发工程师（正式批）,经验不限,本科,18-35K,,,仲阳天王星,不需要融资,100-499人,深圳·南山区·科技园,"Python,C/C++,计算机相关专业"
python后端开发-外包百度,经验不限,本科,13-15K,,,柯莱特集团,已上市,1000-9999人,深圳·南山区·科技园,"Python,Django,Docker,Tornado,PostgreSQL,MySQL,Linux开发/部署经验"
python,经验不限,本科,10-13K,,,中电金信,B轮,10000人以上,深圳·南山区·科技园,"Python,Django,PyTorch,Flask,MySQL,Redis"
python算法工程师,经验不限,本科,11-17K,,,拓维云创,计算机软件,100-499人,深圳·龙岗区·坂田,"Python,Numpy,MySQL"
python大数据开发工程师,经验不限,本科,14-18K,,,软通动力,已上市,10000人以上,深圳·龙岗区·坂田,"Python,Pandas,Spark"
python自动化测试开发,经验不限,本科,11-13K,,,博彦科技,已上市,10000人以上,深圳·南山区·科技园,"Python,Selenium,MySQL,爬虫经验,GAutomator"
高级python开发工程师,经验不限,本科,40-70K·18薪,,,国内知名top10私募量化公司,不需要融资,100-499人,深圳,"数据开发,Python,全栈开发经验,linux,mysql，clickhouse,k8s，docker"
外企-软件开发工程师（Python/英文流利）,3-5年,本科,35-45K,,,某大型其他行业公司,未融资,500-999人,深圳,"Python,Django,MySQL,英文,软件开发"
python开发工程师-深圳,3-5年,本科,14-17K,,,中连高华,计算机软件,20-99人,深圳·福田区·车公庙,"Python,Django,Redis"
后端 Python 开发工程师,3-5年,本科,150-180元/天,,,图灵极视,未融资,0-20人,深圳·龙华区·民治,"Python,Flask,Docker,MySQL,Redis"
Python开发工程师,3-5年,本科,15-30K,,,华为云计算,不需要融资,10000人以上,深圳·龙岗区·坂田,"Java,Go,Oracle,MySQL,Python,C,C++,JavaScript"
python中级工程师（可民办学历，线上面试）,3-5年,本科,17-19K·13薪,,,阅动(新华三),未融资,100-499人,深圳·南山区·科技园,"Python,Numpy,Pandas,Docker,Spark,Hadoop,MySQL,分布式经验,Linux开发/部署经验,运维开发经验"
python,3-5年,本科,16-17K,,,众鑫伟业科技,不需要融资,100-499人,深圳·南山区·科技园,"Python,Django,Tornado,Flask,PostgreSQL,MySQL"
Python后端开发工程师,3-5年,本科,15-25K,,,熠谱科技,不需要融资,100-499人,深圳·南山区·科技园,"Python,PyTorch,TensorFlow,Redis,MySQL,Linux开发/部署经验"
Python,3-5年,本科,7-12K,,,宏牛,电子商务,0-20人,深圳·福田区·上步,Python
数据工程软件工程师（Python，英语口语好）,3-5年,本科,18-28K·13薪,,,思堤克斯,不需要融资,100-499人,深圳·南山区·科技园,"英语流利,Kafka,react,Spark,Python,Flask"
Python开发实习生（AI领域）,3-5年,本科,200-250元/天,,,深圳市万万万更科技,咨询,0-20人,深圳·南山区·科技园,"Python,Flask,PyTorch,MySQL,fastAPI,stable diffusion"
python（双休）,3-5年,本科,12-13K·13薪,,,深圳网新新思,不需要融资,1000-9999人,深圳·南山区·科技园,"Java,Python,Django,MySQL,Python"
Python工程师,3-5年,本科,13-17K·13薪,,,安培时代数字能源科技,未融资,100-499人,深圳·龙岗区·大运,"后端,Flask,Django,Tornado"
python高级开发工程师,3-5年,本科,8-10K,,,深圳市赴宇科技,电子商务,20-99人,深圳·南山区·科技园,"Java,C++,Django,机器学习经验,MySQL,运维开发经验,Redis,Oracle,Numpy,Python,Flask"
python,3-5年,本科,15-21K,,,睿服科技,不需要融资,1000-9999人,深圳·福田区·赤尾,"Python,Pandas,Django,Flask,Redis,Oracle,MySQL"
python开发工程师（大厂，高薪，稳定）,3-5年,本科,15-30K·14薪,,,某500强上市公司,不需要融资,10000人以上,深圳,"后端,数据开发,机器学习/算法工程,Python,计算机相关专业,数学/统计相关专业,全栈开发经验"
Python,3-5年,本科,18-27K,,,深圳德讯,未融资,20-99人,深圳·龙岗区·坂田,"后端,Python,Django,国内院校优先,计算机相关专业,服务端开发经验,爬虫经验"
自动驾驶python开发工程师,3-5年,本科,15-30K,,,行云智能,B轮,20-99人,深圳·南山区·南头,"后端,数据开发,Flask,MySQL,MongoDB,计算机相关专业"
python软件工程师,3-5年,本科,15-20K·13薪,,,丰禾原,不需要融资,100-499人,深圳·龙华区·观澜,"爬虫,后端,数据开发,Python,英语读写能力良好,计算机相关专业,爬虫经验,蓝牙,测试"
python数据分析,3-5年,本科,12-18K,,,誉托科技,未融资,100-499人,深圳·福田区·赤尾,"Python,Numpy,Pandas,Django,MongoDB,MySQL,爬虫经验,数据清洗"
全栈工程师 (3名) Python/Django/Docker,3-5年,本科,8-12K·13薪,,,深圳市深友成数据科技,不需要融资,0-20人,深圳·罗湖区·东门,"Python,Django,全栈开发经验"
Python课程讲师,3-5年,本科,200-400元/天,,,Popsecu,A轮,0-20人,深圳·南山区·蛇口,"数据开发,机器学习/算法工程,后端,计算机相关专业,Python,Flask,TensorFlow,数学/统计相关专业"
Python AI开发工程师,3-5年,本科,12-18K,,,途林,A轮,100-499人,深圳·龙岗区·坂田,"Python,AI,深度学习"
python开发工程师J10567,3-5年,本科,23-30K,,,万邑通,不需要融资,1000-9999人,深圳·宝安区·宝安中心区,"Python,Java,Django,MySQL,微服务经验"
深圳量化私募Python系统开发工程师,3-5年,本科,30-60K·18薪,,,某基金公司,未融资,20-99人,深圳,"后端,数据开发,Python,数学/统计相关专业,计算机相关专业,服务端开发经验"
python工程师,3-5年,本科,9-12K·13薪,,,亿维,未融资,100-499人,深圳·南山区·科技园,"Python,PyTorch,Docker,TensorFlow,Redis,MySQL"
Python开发实习工程师,3-5年,本科,180-230元/天,,,华艾圣物联网,未融资,100-499人,深圳·南山区·科技园,"网络编程,MySQL,Django"
python开发,3-5年,本科,11-18K·13薪,,,轩辕电子,不需要融资,20-99人,深圳·龙华区·龙华,"后端,机器学习/算法工程,数据开发,Python,Java,TensorFlow,计算机相关专业,机器学习工程经验,服务端开发经验,Pytorch/Keras/Kaldi,Speechbrain、flash"
python开发工程师（智慧能源/电力系统）,3-5年,本科,25-35K·16薪,,,某大型知名汽车研发上市公司,已上市,10000人以上,深圳,"Python,Docker,MySQL,云计算经验,python,数字能源"
python开发工程师,3-5年,本科,13-20K,,,悠享网络,未融资,20-99人,深圳·宝安区·新安,"后端,数据开发,Python,MySQL,Flask"
Python,3-5年,本科,10-13K,,,月狐科技有限公司,不需要融资,20-99人,深圳·龙岗区·坂田,"Python,Linux"
python开发工程师,1-3年,本科,8-13K·13薪,,,海捷运,未融资,100-499人,深圳·福田区·车公庙,"Python,Scrapy,MySQL,Linux开发/部署经验"
Python 运营开发（OD岗）,1-3年,本科,10-15K,,,欧冶半导体,A轮,100-499人,深圳·南山区·科技园,Python
python开发-web3双休,1-3年,本科,25-45K,,,某大型计算机服务公司,计算机服务,500-999人,深圳,"Python,Docker,Kubernetes,MySQL"
初级python自动化工程师,1-3年,本科,8-11K,,,深圳市尚夏实业有...,互联网,20-99人,深圳·宝安区·西乡,"多线程,MySQL,GIT,双休,绩效奖金,弹性工作制"
python,1-3年,本科,20-35K,,,某500强上市公司,不需要融资,1000-9999人,深圳,"C++,Python,Django,Kafka,Flask,MySQL,微服务经验,python,麻将"
python后端开发工程师,1-3年,本科,20-40K,,,某大型智能硬件公司,D轮及以上,100-499人,深圳,"Python,Django,Flask,MySQL,Redis,MongoDB"
Python,1-3年,本科,6-11K,,,深圳市智选网络科技有限公司,互联网,0-20人,深圳·宝安区·西乡,"后端,Python,计算机相关专业,全栈开发经验,英语读写能力良好"
Python开发工程师,1-3年,本科,10-15K,,,华会科技,C轮,20-99人,深圳·龙华区·民治,"Linux,算法基础,Django,多进程,后端,Windows,网络编程,数据结构,Python,Flask"
Python,1-3年,本科,15-30K·14薪,,,华为技术有限公司,不需要融资,10000人以上,深圳·龙岗区·坂田,Python
python开发工程师,1-3年,本科,15-30K·14薪,,,华为技术武研所,不需要融资,10000人以上,深圳·龙岗区·坂田,"Python,Django,Elasticsearch,PyTorch,PostgreSQL,Redis,分布式经验,架构设计经验"
