AI人工智能研发实习生,3个月,本科,100-150元/天,,,通达产控投资,不需要融资,20-99人,深圳·福田区·保税区,"英美留学生,欧洲留学生,东南亚留学生,深度学习,大模型算法,数据挖掘,推荐算法,运筹优化,Python,大数据处理工具(Spark/Hadoop/Hive),SQL,算法工程化经验,发表算法相关优秀论文,参加算法相关竞赛/获奖"
人工智能大模型训练工程师助理13-16薪,3个月,本科,8-13K·15薪,,,杰玛科技,互联网,100-499人,深圳·罗湖区·东门,"文本标注,全职工作,视频标注,标注数据分析,标注结果抽查,描点标注,标注方法优化,区域标注,图片标注,分类标注"
AI产品实习生,3个月,本科,200-250元/天,,,幻境游戏,A轮,20-99人,深圳·南山区·科技园,"C端产品,语音类AI,视觉类AI"
AI（人工智能）绘画【服装】+年终奖+待遇佳,3个月,本科,8-13K·13薪,,,传盛科技,未融资,1000-9999人,深圳·宝安区·西乡,"服装,设计初稿,AI,PS,CorelDRAW,不接受居家办公,女装,家居服,童装,跨境电商,AI绘画,Stable Diffusion"
AI人工智能销售,3个月,本科,15-20K,,,聚焦网络,不需要融资,500-999人,深圳·龙华区·龙华,"企业（To B）,对企业/机构（To B）销售经验,企业服务,广告,软件/企业服务产品,电话销售,sass软件销售,会销,品牌出海服务"
机器学习 深度学习 AI人工智能 实习生,3个月,本科,300-400元/天,,,芯行,B轮,0-20人,深圳·龙岗区·坂田,"语音/图像识别,搜索/推荐,翻译,Python,TensorFlow/PyTorch,Hadoop/Hive/Spark,机器学习算法/工程化经验,计算机相关专业,深度学习经验"
人工智能大数据模型训练工程师助理,3个月,本科,8-13K·15薪,,,星布斯科技,互联网,20-99人,深圳·龙岗区·平湖,"全职工作,标注方法优化,数据标注,不接受居家办公,视频标注,图片标注"
人工智能python开发,3个月,本科,10-15K·15薪,,,超思维智能,天使轮,0-20人,深圳·南山区·大学城,"Python,Flask,PyTorch,TensorFlow,MySQL,Linux开发/部署经验,爬虫经验,机器学习经验"
AI创业合伙人,3个月,本科,10-15K,,,未来元宇宙科技,不需要融资,20-99人,深圳·龙岗区·坂田,"深度学习,大模型算法,其他,C/C++"
AI FPGA开发实习生,3个月,本科,200-400元/天,,,千芯科技,不需要融资,100-499人,深圳·南山区·科技园,Verilog
AI产品助理,3个月,本科,170-220元/天,,,Makeblock童心制物,C轮,500-999人,深圳·南山区·西丽,"智能家居,机器学习类AI"
Ai文案专员,3个月,本科,300-400元/天,,,瑞泊龙AI,人工智能,0-20人,深圳·龙岗区·坂田,"新媒体文案,接受居家办公,ai指令师,ai使用高手"
人工智能训练师,3个月,本科,6-9K,,,有美文化,广告/公关/会展,0-20人,深圳·龙岗区·南联,"强化学习,深度学习,模型加速/性能优化,数据挖掘,推荐算法,C/C++,Python,算法工程化经验,团队管理经验"
AI 助理工程师,3个月,本科,7-9K·13薪,,,宏文知产,未融资,0-20人,深圳·宝安区·西乡,"全职工作,标注结果整理,数据标注,标注数据分析,文本标注,视频标注,语音标注,描点标注,分类标注,标框标注,数据分析能力强"
人工智能AI获客+精准资源+无责5K+高提成50%,3个月,本科,20-30K,,,正鸿信息咨询,未融资,100-499人,深圳·福田区·会展中心,"个人（To C）,客户邀约,销售经验,金融产品"
高级人工智能Ai获客系统+月均2万起 师傅带,3个月,本科,20-30K,,,万东咨询,不需要融资,500-999人,深圳,"客户开发,客户拜访,客户签约,互联网金融,个人（To C）,企业/机构（To B）,电话销售经验,网络营销经验,对企业/机构（To B）销售经验,沟通能力,网络营销能力"
AI人工智能训练师 智能客服 周末双休,3个月,本科,8-13K,,,博安云科技,未融资,100-499人,深圳·龙岗区·坂田,"全职工作,不接受居家办公,数据分析能力强,京小智/小微/晓多,店小蜜/抖音飞鸽,平台智能机器人客服"
ai产品实习生,3个月,本科,150-200元/天,,,翻江倒海,天使轮,20-99人,深圳·南山区·华侨城,"C端产品,AI产品,客户端产品"
AI人工智能技术工程师CTO（创业合伙人）,3个月,本科,50-55K,,,川富资本,电子/半导体/集成电路,20-99人,深圳·龙华区·民治,"计算机视觉,机器学习,深度学习,自然语言处理,脑机接口技术,人机交互,知识图谱,自主无人系统技术"
ai人工智能工程师,3个月,本科,20-21K·13薪,,,杰之龙,不需要融资,1000-9999人,深圳·南山区·科技园,"大模型算法,深度学习,强化学习,搜索算法,语音算法,Python,Java,算法工程化经验,人工智能,编程,Spark"
AI人工智能开发工程师,3个月,本科,13-25K,,,满果果科技,计算机软件,0-20人,深圳·福田区·皇岗,"深度学习,强化学习,大模型算法,语音算法,图像算法,推荐算法,Python,算法工程化经验"
AI算法实习生,3个月,本科,200-250元/天,,,卧安科技,B轮,100-499人,深圳·宝安区·西乡,"机器学习,图像算法,Python,算法工程化经验"
无责6000/人工AI智能获客/8.5小时工作/销售,3个月,本科,15-30K,,,众信科技,不需要融资,500-999人,深圳·福田区·会展中心,"个人（To C）,无经验要求,电话销售经验,网络营销经验,互联网金融,企业服务,金融产品,电话销售,网络销售,面销/陌拜,不限,不接受居家办公,高薪工作,神仙公司"
AI人工智能工程师,3个月,本科,12-20K,,,策维软件,不需要融资,100-499人,深圳·龙岗区·坂田,"研究导向,Python,C/C++,数学/统计相关专业,机器学习算法/工程化经验"
AI人工智能平面设计师（双休，近地铁）,3个月,本科,10-15K,,,千亚商务,A轮,100-499人,深圳·福田区·八卦岭,"midjourney,stable diffusion,LORA"
AI 系统开发实习生(J11823),3个月,本科,250-350元/天,,,影石Insta360,D轮及以上,1000-9999人,深圳·宝安区·宝安中心区,"C++,Python,Kubernetes,Docker,Redis,机器学习经验"
AI人工智能平面设计师,3个月,本科,12-20K·13薪,,,尚游游戏,不需要融资,100-499人,深圳·南山区·科技园,"Stable Diffusion,LORA,Midjourney"
AI创意设计师,3个月,本科,10-12K,,,丽医笙医疗器械,未融资,100-499人,深圳·宝安区·福永,"stable diffusion,chatgpt+midjourney"
web3+AI产品经理,3个月,本科,15-30K·13薪,,,深圳市混元智联数...,天使轮,0-20人,深圳·福田区·车公庙,人工智能
AI人工智能产品经理,3个月,本科,10-15K,,,优秘智能,天使轮,20-99人,深圳·龙岗区·坂田,"语义类AI,语音类AI,视觉类AI,C端产品,B端产品,智能医疗,AI机器人,机器学习类AI"
AI数据标注,经验不限,本科,9-14K,,,深圳市奈尔森科技...,天使轮,20-99人,深圳·龙华区·大浪,"标注方法优化,标注结果整理,标注数据分析,图片标注,区域标注,分类标注,数据分析能力强,数据标注,图片,AI算法测试,深度学习模型训练"
AI 产品经理（可远程）,经验不限,本科,15-25K,,,vika维格,A轮,100-499人,深圳·南山区·科技园,"机器学习类AI,语义类AI,语音类AI"
医学人工智能/大数据方向客座学生/实习生,经验不限,本科,150-200元/天,,,中科院深圳先进院,不需要融资,1000-9999人,深圳·南山区·西丽,"TensorFlow/PyTorch,计算机相关专业,语音/图像识别,深度学习经验,Python,数学/统计相关专业"
高级 AI 算法产品经理-剪映CapCut,经验不限,本科,25-50K·15薪,,,今日头条,未融资,10000人以上,深圳·南山区·蛇口,Python
AI人工智能设计师,经验不限,本科,11-22K,,,胜图包装设计,不需要融资,20-99人,深圳·龙岗区·华南城,"海报传单设计,广告/设计公司,AI,LORA,Midjourney,stable diffusion"
AI工程师,经验不限,本科,8-13K,,,惠群商业数据,B轮,100-499人,深圳·南山区·科技园,"语音/图像识别,Python,计算机相关专业,深度学习经验,机器学习算法/工程化经验,自然语言处理"
AI工程师  人工智能辅助药物设计,经验不限,本科,30-60K·13薪,,,某生物公司,生物/制药,20-99人,深圳,人工智能辅助药物设计
人工智能+全栈开发实习,经验不限,本科,300-450元/天,,,领寻,A轮,20-99人,深圳·南山区·科技园,"全栈开发经验,国内院校优先,后端,计算机相关专业,Python,Flask"
AI产品助理,经验不限,本科,7-10K,,,想法流,天使轮,20-99人,深圳·南山区·科技园,"C端产品,AI产品,商业产品"
ai人工智能工程师,经验不限,本科,20-35K,,,必扬极限,计算机软件,100-499人,深圳·南山区·科技园,"留学生优先,深度学习,Python,液压,英文,液压CFD 和Amesim仿真"
服装图案设计师（AI人工智能方向）千人规模,经验不限,本科,9-12K,,,贵达,未融资,1000-9999人,深圳·宝安区·西乡,"服装,AI,PS,AI人工智能,服装图案设计修改,欧美"
人工智能操作系统技术联合创始人,经验不限,本科,200-260K,,,万通宝科技,不需要融资,0-20人,深圳·龙岗区·万科广场,"创业型,有自主创业经验,法律从业资格证,基金从业资格证,linux,人工智能,1-20人,AI,GPT,有政府资源,人力资源管理师三级,从0-1搭建团队"
ai设计师,经验不限,本科,8-13K,,,空对象,电子商务,0-20人,深圳·龙华区·民治,"lora,不接受居家办公,stable diffusion,midjourney,企业/自有品牌"
ai产品经理,经验不限,本科,8-10K,,,柯莱特集团,已上市,1000-9999人,深圳·南山区·科技园,"B端产品,C端产品,智能穿戴,语义类AI,AI机器人,机器学习类AI,语音类AI,智能医疗"
AI人工智能平面设计师,经验不限,本科,10-15K,,,Amalee[艾玛琳],不需要融资,100-499人,深圳·龙岗区·龙岗中心城,"包装设计,广告设计,企业/自有品牌,AI,PS,不接受居家办公"
大数据（人工智能方向）（实习生）(J10091),经验不限,本科,200-300元/天,,,乐播科技,B轮,100-499人,深圳·南山区·后海,"Python,数学/统计相关专业,计算机相关专业"
人工智能AI获客/大型金融公司/精准有效,经验不限,本科,12-13K,,,众创伟业咨询有限公司,不需要融资,500-999人,深圳·福田区·岗厦,"客户邀约,普通话标准,沟通能力强,电话销售经验,互联网金融,金融产品,招商/商户拓展"
销售经理（AI方向）,经验不限,本科,15-20K·13薪,,,深圳市高量引擎网...,不需要融资,20-99人,深圳·南山区·前海,"企业（To B）,对企业/机构（To B）销售经验,电话销售经验,面销/陌拜经验,互联网/科技,软件/企业服务产品,会展销售,网络销售,面销/陌拜,Ai销售,数字人"
AI人工智能创意设计师,经验不限,本科,10-15K,,,华旭科技,未融资,100-499人,深圳·南山区·科技园,"广告设计,广告/设计公司,AI,Midjourney,stable diffusion"
AI图像产品经理,经验不限,本科,20-40K·15薪,,,迅雷网络,已上市,1000-9999人,深圳·南山区·科技园,"C端产品,视觉类AI,图像编辑,AIGC"
产品运营-AI,经验不限,本科,8-11K,,,亿达信息,不需要融资,1000-9999人,深圳·南山区·科技园,大模型
ai产品助理,经验不限,本科,13-14K,,,腾讯,不需要融资,10000人以上,深圳·南山区·科技园,"机器学习类AI,C端产品"
ai产品经理,经验不限,本科,25-50K·14薪,,,同花顺,已上市,1000-9999人,深圳·福田区·会展中心,"语义类AI,AI机器人"
AI/数据建模,经验不限,本科,20-40K,,,华为技术有限公司,不需要融资,10000人以上,深圳·龙岗区·坂田,"深度学习,大模型算法,自然语言处理算法,推荐算法,数据挖掘,C/C++,Python,Java"
人工智能讲师,经验不限,本科,10-15K,,,小喵人工智能,不需要融资,0-20人,深圳·龙华区·大浪,"有销售经验,不接受兼职,AI"
人工智能工程师（深度学习 弹性上班）,经验不限,本科,15-25K·14薪,,,凡岛,不需要融资,1000-9999人,深圳·宝安区·宝安中心区,"机器学习,自然语言处理算法,图像算法,多模态算法,Java,Python"
产品调研（AI工具）,经验不限,本科,7-12K,,,美蜜动网,天使轮,0-20人,深圳·福田区·岗厦,"语音类AI,语义类AI,视觉类AI,机器学习类AI,AI机器人"
高级人工智能（AI）产品经理,经验不限,本科,40-70K·16薪,,,OPPO,不需要融资,10000人以上,深圳·南山区·前海,"C端产品,AI产品,人工智能"
AI人工智能资深讲师,经验不限,本科,13-18K·13薪,,,黑豆人工智能,不需要融资,20-99人,深圳·罗湖区·东门,"AI,NLP,SD,ChatGPT,在线教育,产品设计,人机交互,成人教育"
AI产品经理（初级）,经验不限,本科,10-15K·13薪,,,xmind,不需要融资,20-99人,深圳·南山区·科技园,C端产品
AI产品经理,3-5年,本科,15-25K·15薪,,,小鹅通,D轮及以上,1000-9999人,深圳·南山区·科技园,"B端产品,机器学习类AI"
人工智能产品经理,3-5年,本科,10-15K,,,微多多,天使轮,0-20人,深圳·南山区·南油,"C端产品,B端产品,chatgpt"
AI产品助理,3-5年,本科,200-250元/天,,,谷米,天使轮,0-20人,深圳·南山区·科技园,AI产品
AI插画师,3-5年,本科,10-15K,,,水特互动,未融资,0-20人,深圳·南山区·海岸城,"AI绘画,视觉设计,人物场景"
ai医生产品经理,3-5年,本科,28-55K·17薪,,,菲鹏生物股份有限公司,D轮及以上,1000-9999人,深圳·南山区·科技园,AI产品
AI人工智能开发工程师/AI人工智能专家,3-5年,本科,50-80K·14薪,,,深圳市格罗克森科...,不需要融资,20-99人,深圳·宝安区·新安,"C/C++,Python,Java,算法工程化经验,团队管理经验"
AI 绘图师,3-5年,本科,10-15K,,,智奥会展,不需要融资,100-499人,深圳·南山区·科技园,企业/自有品牌
AI绘画师,3-5年,本科,15-25K·13薪,,,必凡娱乐,A轮,20-99人,深圳·南山区·科技园,"游戏角色原画,游戏场景原画,游戏公司"
人工智能算法研究员,3-5年,本科,25-50K,,,哔布科技,互联网,0-20人,深圳·南山区·科技园,"深度学习,图像算法,多模态算法,Python,算法工程化经验,发表算法相关优秀论文"
ai角色原画师,3-5年,本科,12-22K,,,深圳星游矩阵科技,未融资,0-20人,深圳·宝安区·新安,"游戏公司,不接受居家办公"
AI调优,3-5年,本科,8-12K,,,赛明科技有限公司,计算机服务,100-499人,深圳·南山区·蛇口,AI交互机器人
AI创意设计师,3-5年,本科,5-6K,,,点维广告,A轮,100-499人,深圳·南山区·海岸城,"AI,Midjourney,Stable Diffusion"
Figma UI/UX交互设计师-人工智能采购平台,3-5年,本科,15-25K·13薪,,,Wayo沃有科技,天使轮,0-20人,深圳·南山区·南山中心,"交互设计,客户端,网页端,界面设计,Figma"
电商AI设计师,3-5年,本科,9-14K·13薪,,,艾姆诗,不需要融资,500-999人,深圳·龙华区·龙华,"ai,人工智能"
ai产品经理,3-5年,本科,15-18K,,,迈思信息,不需要融资,1000-9999人,深圳·南山区·科技园,机器学习类AI
ai研究员,3-5年,本科,20-40K,,,天海蓝科技,未融资,100-499人,深圳·龙华区·龙华,"业务导向,智能营销/广告,数学/统计相关专业,计算机相关专业,Chatgpt,AI研究"
高级JAVA工程师 【AI模型服务/工程化方向】,3-5年,本科,20-40K·14薪,,,中信银行信用卡中心,已上市,10000人以上,深圳·福田区·华强南,"Java,不接受居家办公,SpringCloud,MySQL,MyBatis,Redis,Spring"
AI产品经理（实习）,3-5年,本科,200-250元/天,,,慧搭科技,A轮,20-99人,深圳·南山区·科技园,"C端产品,语义类AI,视觉类AI,机器学习类AI"
