数据分析师（可接应届生 无经验要求）,经验不限,本科,20-40K·16薪,,,北京外企德科人力...,不需要融资,1000-9999人,深圳·龙岗区·坂田,"SQL,Python,数学/统计相关专业,数据分析/挖掘经验,计算机相关专业"
薪酬数据分析师 双休不加班 薪资可谈,经验不限,本科,11-20K,,,圣方华,未融资,0-20人,深圳·南山区·科技园,"SAS,SQL,Tableau,BI,R/Python"
数据分析师-抖音/今日头条/西瓜视频,经验不限,本科,25-50K·15薪,,,字节跳动,不需要融资,10000人以上,深圳·南山区·南油,"SQL,Python,R,数学/统计相关专业,计算机相关专业,数据分析/挖掘经验"
数据分析师/双休,经验不限,本科,15-20K,,,通拓科技,已上市,1000-9999人,深圳·龙岗区·平湖,"SQL,数学/统计相关专业,计算机相关专业,数据分析/挖掘经验"
数据分析师,经验不限,本科,10-15K,,,大湾区金融研究院,未融资,20-99人,深圳·龙华区·民治,"Python,机器学习建模经验,电商/零售行业数据相关经验,风控相关经验"
【高薪急招】数据分析师,经验不限,本科,20-30K,,,德科信息,不需要融资,1000-9999人,深圳·宝安区·宝安中心区,"SQL,数据分析/挖掘经验"
数据分析师实习生（经济研究）,经验不限,本科,200-400元/天,,,赋风科技,未融资,100-499人,深圳·南山区·海岸城,"Python,R,SQL,经济分析经验,会爬虫"
数据分析师（优秀应届生亦可，双休）,经验不限,本科,15-25K,,,三态股份,已上市,1000-9999人,深圳·南山区·科技园,"SQL,Python,Power BI,数学/统计相关专业,金融行业数据相关经验,机器学习建模经验"
数据分析师实习生,经验不限,本科,180-220元/天,,,艾盛,不需要融资,100-499人,深圳·南山区·前海,"SQL,Python,Tableau,数据分析/挖掘经验,电商/零售行业数据相关经验"
数据分析师 实习+就业（24届）,经验不限,本科,5-9K,,,麦风科技,A轮,100-499人,深圳·南山区·科技园,"SQL,数据分析,网站分析,海外业务"
数据分析师23.24届（接受无经验）,经验不限,本科,6-8K,,,柠檬树科技,未融资,100-499人,深圳·龙岗区·坂田,"数据,表格,编程"
数据分析师（base香港）,经验不限,本科,50-70K·16薪,,,BOSS直聘,已上市,1000-9999人,深圳·南山区·科技园,数据分析师
跨境电商市场数据分析师,经验不限,本科,8-13K,,,鑫象科技,电子商务,20-99人,深圳·龙岗区·坂田,"SQL,Python,数学/统计相关专业,计算机相关专业,电商/零售行业数据相关经验"
深圳坪山比亚迪数据分析师,经验不限,本科,15-25K,,,比亚迪汽车有限公司,已上市,10000人以上,深圳·坪山区·坪山,"数学/统计相关专业,计算机相关专业,数据分析/挖掘经验"
数据分析师【双休+不加班】,经验不限,本科,7-9K,,,深圳市鹏云科技,不需要融资,20-99人,深圳·福田区·车公庙,"金融行业数据相关经验,电商/零售行业数据相关经验,数据分析/挖掘经验"
数据分析师,经验不限,本科,200-250元/天,,,富途,已上市,1000-9999人,深圳·南山区·科技园,"Tableau,Hive,SQL"
数据分析师,经验不限,本科,15-20K,,,熠谱科技,不需要融资,100-499人,深圳·南山区·科技园,Python
数据分析师（转总助、部门、项目负责人）,经验不限,本科,12-18K,,,摩犀科技,未融资,20-99人,深圳·南山区·科技园,"电商/零售行业数据相关经验,数据分析"
数据分析师,经验不限,本科,5-6K,,,十百千,电子商务,0-20人,深圳,"产品运营,数据分析,英语"
数据分析师,经验不限,本科,8-12K·14薪,,,艾科泰环境科技,未融资,20-99人,深圳·宝安区·宝安中心区,"大数据分析,数据调研,数据建模"
数据分析师 实习岗 电商外贸,经验不限,本科,4-5K,,,海杉投资,B轮,0-20人,深圳·福田区·华强北,"电子元器件,数据分析/挖掘经验,外贸,英语口语好,电商/零售行业数据相关经验"
数据分析师（双休+六险一金）,经验不限,本科,10-13K,,,智汇创想,不需要融资,1000-9999人,深圳·龙岗区·坂田,"Python,数学/统计相关专业,计算机相关专业,电商/零售行业数据相关经验,pandas"
数据分析师,经验不限,本科,25-30K·18薪,,,某大型知名互联网上市公司,已上市,10000人以上,深圳,"SQL,Python,SAS,数学/统计相关专业,计算机相关专业,数据分析/挖掘经验,用户分析,专题分析,策略分析"
数据分析师,经验不限,本科,7-10K,,,思空文化,不需要融资,100-499人,深圳·龙岗区·坂田,"SQL,Power BI,计算机相关专业,数据分析/挖掘经验,数学/统计相关专业,Excel复合函数,新媒体,数据透视表"
数据分析师,经验不限,本科,35-40K,,,必成,计算机服务,20-99人,深圳·龙岗区·横岗,"Excel,Tableau,NumPy"
数据分析师,经验不限,本科,10-11K,,,深圳市京泰电子商...,电子商务,100-499人,深圳·宝安区·西乡,"SQL,Excel"
数据分析师,经验不限,本科,12-23K·13薪,,,霸王茶姬,B轮,1000-9999人,深圳·福田区·石厦,"Python,SPSS,数学/统计相关专业,数据分析/挖掘经验"
数据分析师,经验不限,本科,10-15K,,,恒艺科技,不需要融资,100-499人,深圳·宝安区·西乡,"SQL,Python,数学/统计相关专业,电商/零售行业数据相关经验,Excel"
数据分析师,经验不限,本科,8-10K,,,卡普瑞,不需要融资,20-99人,深圳·福田区·福田保税区,"环境工程,大气工程"
数据分析师,经验不限,本科,15-30K·13薪,,,数位大数据,D轮及以上,100-499人,深圳·南山区·科技园,"SQL,Python,数学/统计相关专业,数据分析/挖掘经验"
数据分析师,1-3年,大专,10-11K,,,宜齿洁,未融资,0-20人,深圳·龙岗区·布吉,"数据分析,数据挖掘,数据仓库,商业分析,数据采集,ETL,DBA"
数据分析师,1-3年,大专,7-9K,,,欢聚,文化艺术/娱乐,0-20人,深圳·龙华区·龙华,"数学/统计相关专业,数据分析/挖掘经验,文娱/游戏行业数据相关经验"
数据分析师,1-3年,大专,5-10K,,,深圳投投科技,不需要融资,20-99人,深圳·南山区·蛇口,"方差分析,回归分析,多元统计分析"
数据分析师,1-3年,大专,28-45K,,,某知名智能硬件上市公司,已上市,1000-9999人,深圳,"Python,Hive,SQL,数据分析/挖掘经验,数学/统计相关专业,电商/零售行业数据相关经验"
化学数据分析师,1-3年,大专,5-6K,,,国智教育,不需要融资,0-20人,深圳·宝安区·沙井,数据分析/挖掘经验
急，急找数据分析师（双休+电商）,1-3年,大专,20-21K,,,某大型电子商务公司,未融资,100-499人,深圳,"SAS,SQL,电商/零售行业数据相关经验,数据分析/挖掘经验"
高级数据分析师,1-3年,大专,9-14K·13薪,,,剧星传媒,已上市,1000-9999人,深圳·南山区·前海,"Power BI,Python,Tableau,数据分析/挖掘经验,计算机相关专业,电商/零售行业数据相关经验,云图实操经验,数据银行,生意参谋"
【急招】数据分析师,1-3年,大专,20-40K·16薪,,,字节跳动,D轮及以上,10000人以上,深圳·南山区·科技园,"SQL,Hive,Python,数据分析/挖掘经验"
数据分析师（消费品电商，甲方+乙方背景）,1-3年,大专,15-25K,,,某知名智能硬件上市公司,已上市,1000-9999人,深圳,"用户深度研究,业务数据分析,竞品分析,SQL,Python/R语言,Hadoop/Hive,统计/数学相关专业,金融/经济相关专业,电商,大数据平台,分析体系"
消费者数据分析师,1-3年,大专,15-30K,,,松鼠跃动传媒集团,天使轮,100-499人,深圳·罗湖区·水库,"数据银行,TMIC,达摩盘,天猫、京东数据分析,生意参谋,ISV,数据罗盘"
数据分析师,1-3年,大专,12-22K,,,中软国际,已上市,10000人以上,深圳·龙岗区·坂田,"Python,Power BI,供应链,金蝶"
数据分析师,1-3年,大专,6-11K,,,方晶科技,原材料及加工/模具,20-99人,深圳·宝安区·新安,"SQL,Excel,Python,SPSS,Hadoop"
数据分析师,1-3年,大专,10-15K,,,深圳市梦之翼电子商务,不需要融资,100-499人,深圳·南山区·科技园,"数据分析/挖掘经验,数学/统计相关专业,电商/零售行业数据相关经验"
数据分析师,1-3年,大专,20-40K,,,某大型知名投资公司,未融资,10000人以上,深圳,"计算机相关专业,数据分析/挖掘经验,数学/统计相关专业"
数据分析师,1-3年,大专,7-8K,,,云博智联,未融资,20-99人,深圳·南山区·南山京基百纳,"数据分析,SPSS,Stata,大数据"
数据分析师-X9839Q,1-3年,大专,25-50K,,,vivo,不需要融资,10000人以上,深圳·宝安区·宝安中心区,"数据分析,应用分发"
数据分析师,1-3年,大专,10-11K·13薪,,,深圳市七空间网络,电子商务,0-20人,深圳·宝安区·西乡,"Python,Tableau"
数据分析师-base广州,1-3年,大专,8-12K·13薪,,,望繁信科技,B轮,100-499人,深圳·宝安区·西乡,"SQL,Power BI,Python,计算机相关专业,数据分析/挖掘经验,数学/统计相关专业"
数据分析师,1-3年,大专,250-300元/天,,,货拉拉科技,D轮及以上,10000人以上,深圳·福田区·梅林,"SQL,数学/统计相关专业,计算机相关专业"
数据分析师,1-3年,大专,11-21K,,,乐刷,已上市,500-999人,深圳·南山区·科技园,"SQL,Python,Hive,数学/统计相关专业,数据分析/挖掘经验,风控相关经验,Linux"
数据分析师 (跨境电商),1-3年,大专,10-15K·13薪,,,科佰实照明,不需要融资,100-499人,深圳·龙岗区·华南城,"SQL,Python,Power BI,计算机专业,业务方向"
资深数据分析师（ABT/推荐/搜索/流量分发）,1-3年,大专,25-45K·15薪,,,SHEIN,D轮及以上,10000人以上,深圳·南山区·西丽,"SQL,Tableau,数据分析/挖掘经验,AB testing,AB测试"
数据分析师,1-3年,大专,8-10K·13薪,,,悦喜达医疗,医疗器械,0-20人,深圳·龙岗区·横岗,"数学/统计相关专业,经济/工商管理相关专业"
数据分析师,1-3年,大专,6-11K,,,盘古大宇,咨询,20-99人,深圳·南山区·科技园,"Python,MATLAB,计算机相关专业,数学/统计相关专业,数据分析/挖掘经验"
数据分析师（中级）,1-3年,大专,11-14K,,,杰讯互联,不需要融资,500-999人,深圳·坪山区·坪山,"SAS,数据分析/挖掘经验,SPSS,计算机相关专业,Python,数学/统计相关专业"
数据分析师（重本）(J10170),1-3年,大专,8-13K,,,长隆科技,不需要融资,500-999人,深圳·龙岗区·坪地,"数学,数据分析"
亚马逊财务数据分析师,1-3年,大专,8-11K,,,群鲸出海,未融资,20-99人,深圳·龙岗区·布吉,"数学/统计相关专业,电商/零售行业数据相关经验,数据分析/挖掘经验"
数据分析师,1-3年,大专,25-45K,,,某大型智能硬件公司,不需要融资,100-499人,深圳,"EDM,KOL/KOC"
