数据挖掘岗-人工智能方向(009156),经验3-5年,本科,20k-40k,,,中信银行信用卡中心, 上市公司 , 2000人以上,福田区,科技金融
人工智能解决方案专家,经验3-5年,本科,15k-30k,,,达观数据, 上市公司 , 2000人以上,福田区,科技金融
人工智能内容生成（aigc）算法工程师,经验不限,硕士,20k-40k,,,GALASPORTS, 上市公司 , 2000人以上,福田区,科技金融
AIX-人工智能算法工程师（金融应用）,经验3-5年,硕士,15k-25k,,,微众银行, 上市公司 , 2000人以上,福田区,科技金融
QYY-人工智能算法工程师 (MJ001339),经验3-5年,本科,15k-25k,,,微众银行, 上市公司 , 2000人以上,福田区,科技金融
AI人工智能工程师,经验1-3年,本科,10k-18k,,,深圳市智胜益辉科技有限公司, 上市公司 , 2000人以上,福田区,科技金融
人工智能算法工程师,经验1-3年,本科,10k-20k,,,深圳市智胜益辉科技有限公司, 上市公司 , 2000人以上,福田区,科技金融
急招人工智能测试助理（包吃住）,经验不限,大专,6k-7k,,,维斯沃特科技, 上市公司 , 2000人以上,福田区,科技金融
人工智能测试助理,经验不限,大专,6k-8k,,,枫銮科技, 上市公司 , 2000人以上,福田区,科技金融
人工智能解决方案专家,经验5-10年,硕士,46k-76k,,,深圳市宏剑科技有限公司, 上市公司 , 2000人以上,福田区,科技金融
人工智能研发师,经验1-3年,本科,18k-30k,,,福达尔软件技术（深圳）有限公司, 上市公司 , 2000人以上,福田区,科技金融
AI人工智能工程师,经验3-5年,本科,15k-20k,,,图元科技, 上市公司 , 2000人以上,福田区,科技金融
总行信息科技岗_数据与人工智能工程师,经验在校,应届,10k-20k,,,华润银行, 上市公司 , 2000人以上,福田区,科技金融
解决方案经理（人工智能方向）,经验不限,本科,15k-30k,,,深圳联通, 上市公司 , 2000人以上,福田区,科技金融
产品经理（人工智能方向）,经验不限,本科,15k-30k,,,深圳联通, 上市公司 , 2000人以上,福田区,科技金融
数据挖掘岗-人工智能方向(009156),经验3-5年,本科,20k-40k,,,中信银行信用卡中心, 上市公司 , 2000人以上,福田区,科技金融
人工智能解决方案专家,经验3-5年,本科,15k-30k,,,达观数据, 上市公司 , 2000人以上,福田区,科技金融
