job_name,experience,education,salary,other,detail_url,company_name,type,numbers,location,words
数据调查分析（实习岗）,无经验,本科,150-200/天,暂无信息,http://jobs.zhaopin.com/CC841423530J40391282515.htm?refcode=4019&srccode=&preactionid=,上海数治数据科技有限公司,民营,20-99人,上海-浦东,"数据分析,SPSS,机器学习,数据建模,Python,数据挖掘,数据治理,行业分析"
bi数据分析师,3-5年,本科,3万-5.5万,15薪,http://jobs.zhaopin.com/CC202766620J40558556814.htm?refcode=4019&srccode=&preactionid=,正德人力资源股份有限公司,民营,10000人以上,上海-普陀,"SQL,商业数据分析,运营数据分析"
数据分析师,3-5年,本科,1.5万-2万,暂无信息,http://jobs.zhaopin.com/CC385622410J40484002906.htm?refcode=4019&srccode=&preactionid=,深圳市法本信息技术股份有限公司,上市公司,1000-9999人,上海-虹口,"Shell,SQL,Python,Tableau,机器学习,商业数据分析,运营数据分析,销售数据分析"
数据建模分析师,经验不限,硕士,1.2万-1.6万,暂无信息,http://jobs.zhaopin.com/CC841423530J40391282815.htm?refcode=4019&srccode=&preactionid=,上海数治数据科技有限公司,民营,20-99人,上海-浦东,"数据建模,数据分析,机器学习,文本挖掘,R语言,Python"
数据分析师,1-3年,大专,8千-1万,暂无信息,http://jobs.zhaopin.com/CCL1301791860J40109025215.htm?refcode=4019&srccode=&preactionid=,上海菁淇信息科技有限公司,合资,100-299人,上海-浦东,"数据分析,大数据分析"
数据分析专员,1-3年,本科,7千-1万,暂无信息,http://jobs.zhaopin.com/CC000100540J40457867904.htm?refcode=4019&srccode=&preactionid=,立邦投资有限公司,外商独资,10000人以上,上海-金山,
数据分析师,5-10年,本科,2.5万-3万,13薪,http://jobs.zhaopin.com/CC542783320J40578607615.htm?refcode=4019&srccode=&preactionid=,中通快递,股份制企业,10000人以上,上海-青浦,"应用数学,统计学,运营数据分析"
powerBI数据分析工程师,1-3年,本科,1.2万-1.6万,13薪,http://jobs.zhaopin.com/CC550049530J40497820101.htm?refcode=4019&srccode=&preactionid=,敏捷艾科,民营,20-99人,上海-静安,Power BI
数据分析专员,3-5年,本科,1万-1.5万,暂无信息,http://jobs.zhaopin.com/CC000100540J40485550604.htm?refcode=4019&srccode=&preactionid=,立邦投资有限公司,外商独资,10000人以上,上海-浦东,"Power BI,Python,Tableau,SQL"
业务数据分析师（外派腾讯）,1-3年,本科,1.1万-1.3万,暂无信息,http://jobs.zhaopin.com/CC000638920J40557964914.htm?refcode=4019&srccode=&preactionid=,上海微创软件股份有限公司,合资,10000人以上,上海-闵行,"数据埋点,Python,Tableau,SQL"
