job_name,experience,education,salary,other,detail_url,company_name,type,numbers,location,words
java开发工程师,3-5年,本科,9千-1.6万,暂无信息,http://jobs.zhaopin.com/CC136471860J40489068607.htm?refcode=4019&srccode=&preactionid=,北京英诺威尔科技股份有限公司,股份制企业,500-999人,北京-丰台,"Java,JavaScript,SQL,后端开发,WEB开发,SpringBoot,Oracle,微服务架构"
java开发工程师,5-10年,本科,1万-1.5万,暂无信息,http://jobs.zhaopin.com/CC413155310J40508164303.htm?refcode=4019&srccode=&preactionid=,北京助创科技有限公司,民营,20-99人,北京-大兴,"Spring,Java,SQL,MySQL,SPRINGCLOUD"
java,3-5年,本科,1.8万-1.9万,暂无信息,http://jobs.zhaopin.com/CC157088920J40461125616.htm?refcode=4019&srccode=&preactionid=,深圳市拓保软件有限公司,民营,1000-9999人,北京-顺义,"商城系统,MySQL,商城,订单"
java开发工程师（无线）,3-5年,本科,1万-1.8万,暂无信息,http://jobs.zhaopin.com/CC136471860J40513923307.htm?refcode=4019&srccode=&preactionid=,北京英诺威尔科技股份有限公司,股份制企业,500-999人,北京-丰台,"Java,JavaScript,SQL,后端开发,SpringBoot,微服务架构,Kafka,MySQL,Linux"
北京java开发工程师,1-3年,大专,1.1万-1.3万,暂无信息,http://jobs.zhaopin.com/CC445384710J40451726208.htm?refcode=4019&srccode=&preactionid=,郑州乐驰软件科技有限公司,民营,20-99人,北京-朝阳,"SpringBoot,SpringCloud"
java开发,3-5年,本科,1.5万-1.9万,暂无信息,http://jobs.zhaopin.com/CCL1387109580J40485408805.htm?refcode=4019&srccode=&preactionid=,辽宁鑫锡软件有限公司,其它,20-99人,北京-昌平,MySQL
java开发工程师-北京,3-5年,本科,9千-1.6万,暂无信息,http://jobs.zhaopin.com/CC136471860J40525520807.htm?refcode=4019&srccode=&preactionid=,北京英诺威尔科技股份有限公司,股份制企业,500-999人,北京-丰台,"Java,JavaScript,SQL,后端开发,WEB开发,SpringBoot,Oracle,微服务架构"
java开发工程师,经验不限,本科,7千-1.4万,暂无信息,http://jobs.zhaopin.com/CC395023110J40529333515.htm?refcode=4019&srccode=&preactionid=,北京思行伟业数码科技有限公司,民营,20-99人,北京,"SpringMVC,SpringBoot,Vue,jQuery,全栈开发,MySQL,Oracle,Redis"
java开发工程师,经验不限,本科,1.1万-2万,暂无信息,http://jobs.zhaopin.com/CC424188180J40417360012.htm?refcode=4019&srccode=&preactionid=,大连斯锐信息技术有限公司,民营,1000-9999人,北京-西城,"后端开发,SpringBoot,SpringCloud"
java开发工程师,无经验,硕士,8千-1.5万,暂无信息,http://jobs.zhaopin.com/CC120473250J40486780509.htm?refcode=4019&srccode=&preactionid=,北京数慧时空信息技术有限公司,国企,300-499人,北京-丰台,"SpringBoot,SpringCloud"
java开发（北京）,3-5年,大专,1.4万-1.8万,暂无信息,http://jobs.zhaopin.com/CC666898020J40439638502.htm?refcode=4019&srccode=&preactionid=,华苏科技,民营,1000-9999人,北京-丰台,后端开发
java开发工程师,1-3年,本科,8千-1万,暂无信息,http://jobs.zhaopin.com/CC144456040J40521150608.htm?refcode=4019&srccode=&preactionid=,北京数科网维技术有限责任公司,民营,300-499人,北京-海淀,Spring
中高级java开发工程师-有金融背景或风控背景-中电科创新园,3-5年,本科,1万-1.9万,暂无信息,http://jobs.zhaopin.com/CC339573680J40498061105.htm?refcode=4019&srccode=&preactionid=,北京大美金信科技有限公司,股份制企业,100-299人,北京-昌平,
java开发 【学信统本+线下面试】,3-5年,本科,1.6万-2.5万,暂无信息,http://jobs.zhaopin.com/CC385622410J40500349806.htm?refcode=4019&srccode=&preactionid=,深圳市法本信息技术股份有限公司,上市公司,1000-9999人,北京-顺义,"Spring,MySQL,架构设计,多线程"
java开发工程师,3-5年,本科,1.8万-3.5万,16薪,http://jobs.zhaopin.com/CC821752090J40498385408.htm?refcode=4019&srccode=&preactionid=,北京鼎腾科技有限公司,民营,500-999人,北京-海淀,"Java,Tomcat,Oracle,MongoDB,后端开发,Spring,SpringBoot,SpringCloud,SpringMVC"
java开发工程师-有餐饮电商相关项目经验-金域国际中心,3-5年,本科,1万-1.9万,暂无信息,http://jobs.zhaopin.com/CC339573680J40505669005.htm?refcode=4019&srccode=&preactionid=,北京大美金信科技有限公司,股份制企业,100-299人,北京-昌平,
java开发工程师,3-5年,本科,1.7万-2.1万,暂无信息,http://jobs.zhaopin.com/CC385622410J40496879806.htm?refcode=4019&srccode=&preactionid=,深圳市法本信息技术股份有限公司,上市公司,1000-9999人,北京-海淀,"Spring,MySQL"
java开发工程师,3-5年,本科,1万-2万,暂无信息,http://jobs.zhaopin.com/CC236640580J40378607016.htm?refcode=4019&srccode=&preactionid=,北京新易资源科技有限公司,国企,20人以下,北京-海淀,"后端开发,Java"
