job_name,experience,education,salary,other,detail_url,company_name,type,numbers,location,words
python软件工程师,无经验,本科,8千-1.2万,暂无信息,http://jobs.zhaopin.com/CC862528340J40462651216.htm?refcode=4019&srccode=&preactionid=,北京青檬艾柯科技有限公司,民营,20人以下,北京-昌平,"Python可视化库,NumPy,深度学习框架,逆向开发,MATLAB,Matplotlib"
python开发工程师,1年以下,大专,9千-1.7万,13薪,http://jobs.zhaopin.com/CCL1476260790J40481082204.htm?refcode=4019&srccode=&preactionid=,北京益师义优科技服务有限公司,暂无信息,100-299人,北京-海淀,".Net,Shell,Sql,Django,Tornado,Flask,MySQL,PostgreSQL,Oracle"
python开发工程师,1年以下,大专,9千-1.6万,暂无信息,http://jobs.zhaopin.com/CCL1476154210J40505094610.htm?refcode=4019&srccode=&preactionid=,北京金巴顺漾科技有限公司,暂无信息,100-299人,北京-西城,"C++,Java,Javascript,Django,Scrapy,Oracle"
python后端开发工程师,1-3年,本科,1万-2万,暂无信息,http://jobs.zhaopin.com/CC120143600J40581456915.htm?refcode=4019&srccode=&preactionid=,浪潮集团,国企,10000人以上,北京-朝阳,Python web框架
python开发工程师,3-5年,本科,1.1万-1.6万,14薪,http://jobs.zhaopin.com/CC120834970J40451859602.htm?refcode=4019&srccode=&preactionid=,北京计算机技术及应用研究所,事业单位,1000-9999人,北京,"Python web框架,Python并发框架"
python工程师,3-5年,本科,1万-1.5万,13薪,http://jobs.zhaopin.com/CC202815610J40585752515.htm?refcode=4019&srccode=&preactionid=,北京英特达营销发展有限公司,股份制企业,100-299人,北京-海淀,"Java,Django,MySQL,Redis,SQLServer,Vue"
python工程师,3-5年,本科,1.4万-2万,暂无信息,http://jobs.zhaopin.com/CC000544460J40494803516.htm?refcode=4019&srccode=&preactionid=,软通动力信息技术(集团)股份有限公司,民营,10000人以上,北京-海淀,Python
软件开发工程师（python与C++方向）,无经验,本科,200-250/天,暂无信息,http://jobs.zhaopin.com/CC664240020J40475803716.htm?refcode=4019&srccode=&preactionid=,北京中汽恒泰教育科技有限公司,合资,20-99人,北京-昌平,"Python可视化库,前端开发,后端开发,MySQL"
python开发工程师,3-5年,大专,1.8万-1.9万,暂无信息,http://jobs.zhaopin.com/CC000638920J40557671114.htm?refcode=4019&srccode=&preactionid=,上海微创软件股份有限公司,合资,10000人以上,北京-顺义,"Django,PYTHON开发"
python开发工程师,1-3年,本科,9千-1.5万,暂无信息,http://jobs.zhaopin.com/CC145890210J40481873602.htm?refcode=4019&srccode=&preactionid=,北京中电方大科技股份有限公司,股份制企业,20-99人,北京-海淀,"Python web框架,后端开发,MySQL"
python 软件开发工程师,1-3年,本科,1.1万-1.5万,暂无信息,http://jobs.zhaopin.com/CC664240020J40475814416.htm?refcode=4019&srccode=&preactionid=,北京中汽恒泰教育科技有限公司,合资,20-99人,北京-昌平,"Python可视化库,全栈开发,前端开发"
python开发,1-3年,本科,1万-1.5万,13薪,http://jobs.zhaopin.com/CC000638920J40513166314.htm?refcode=4019&srccode=&preactionid=,上海微创软件股份有限公司,合资,10000人以上,北京-海淀,"Python并发框架,C#,C,C++,机器算法,数据质量"
python爬虫工程师,经验不限,学历不限,1.8万-1.9万,暂无信息,http://jobs.zhaopin.com/CCL1360598640J40429107406.htm?refcode=4019&srccode=&preactionid=,世唐云科(北京)科技有限公司,暂无信息,20人以下,北京-海淀,"Python,Java,数据挖掘,数据采集,爬虫开发,反爬虫,分布式爬虫,数据清洗"
Java开发工程师,1年以下,学历不限,1.3万-1.8万,13薪,http://jobs.zhaopin.com/CCL1476154210J40514819710.htm?refcode=4019&srccode=&preactionid=,北京金巴顺漾科技有限公司,暂无信息,100-299人,北京-顺义,"Python,C#,Javascript,Spring,Hibernate,Struts,MySQL,PostgreSQL,Oracle"
python开发工程师,3-5年,本科,1.4万-1.6万,暂无信息,http://jobs.zhaopin.com/CC000638920J40462938814.htm?refcode=4019&srccode=&preactionid=,上海微创软件股份有限公司,合资,10000人以上,北京-朝阳,"Linux,机器学习,NumPy,Pandas"
python图像算法工程师,1-3年,本科,1.1万-1.5万,暂无信息,http://jobs.zhaopin.com/CC637366030J40500378806.htm?refcode=4019&srccode=&preactionid=,博彦科技承德有限公司,股份制企业,1000-9999人,北京-海淀,"图像算法,Python"
网络安全工程师,1年以下,学历不限,9千-1.8万,13薪,http://jobs.zhaopin.com/CCL1476154210J40515232410.htm?refcode=4019&srccode=&preactionid=,北京金巴顺漾科技有限公司,暂无信息,100-299人,北京-朝阳,"系统安全,网站安全,数据安全,主机安全,TCP/IP协议,HTTP,DNS,路由协议,Python,C++"
python和C++编程老师,经验不限,大专,6千-1.2万,暂无信息,http://jobs.zhaopin.com/CC433994030J40222979110.htm?refcode=4019&srccode=&preactionid=,北京博瑞领创科技有限公司,民营,20人以下,北京,"C++讲师,C语言讲师"
招应往届生见习软件测试岗（双休+社保＋晋升）,经验不限,本科,5千-6千,暂无信息,http://jobs.zhaopin.com/CCL1467924150J40488865804.htm?refcode=4019&srccode=&preactionid=,北京新桐环保工程有限公司,暂无信息,20-99人,北京-大兴,"功能测试,系统测试,自动化测试,Java,Javascript,Python,Postman,JIRA,Fiddler"
