job_name,experience,education,salary,other,detail_url,company_name,type,numbers,location,words
数据分析与处理高级工程师,3-5年,硕士,1.5万-2万,暂无信息,http://jobs.zhaopin.com/CCL1473009580J40532059701.htm?refcode=4019&srccode=&preactionid=,深圳中星数字海洋科技有限公司,民营,20-99人,深圳-南山,SQL、R，PYTHON
数据分析（双休，不加班）,3-5年,本科,1.4万-1.5万,暂无信息,http://jobs.zhaopin.com/CC157110720J40500086706.htm?refcode=4019&srccode=&preactionid=,大展信息科技(深圳)有限公司,民营,500-999人,深圳-南山,"SAS,SQL,行业分析,Python"
数据分析师助理（周末双休）,1-3年,本科,7千-9千,暂无信息,http://jobs.zhaopin.com/CCL1353342750J40554818914.htm?refcode=4019&srccode=&preactionid=,深圳市嘉又电子商务有限公司,民营,300-499人,深圳-福田,"运营数据分析,财务数据分析,行业分析,朝九晚六,周末双休,五险一金"
bi工程师/bi数据分析师,经验不限,本科,1万-1.5万,暂无信息,http://jobs.zhaopin.com/CC132962990J40495722602.htm?refcode=4019&srccode=&preactionid=,比亚迪,民营,10000人以上,深圳-坪山,"MySQL,SQL"
数据分析岗(009162),1年以下,本科,面议,暂无信息,http://jobs.zhaopin.com/CC133037270J40364295413.htm?refcode=4019&srccode=&preactionid=,中信银行信用卡中心,国企,1000-9999人,深圳-福田,数据分析
6K+运营实习生/助理,经验不限,中专/中技,5千-8千,13薪,http://jobs.zhaopin.com/CCL1321769790J40503937109.htm?refcode=4019&srccode=&preactionid=,深圳市莲翘贸易有限公司,民营,100-299人,深圳-龙岗,"抖音运营,短视频运营,数据分析,平台运营,图文制作,视频剪辑,视频制作,直播"
大数据分析师,经验不限,本科,8千-1.6万,暂无信息,http://jobs.zhaopin.com/CC132962990J40495729702.htm?refcode=4019&srccode=&preactionid=,比亚迪,民营,10000人以上,深圳-坪山,"数据建模,可视化"
数据分析+双休+五险一金+大厂环境好,经验不限,本科,8千-1.3万,暂无信息,http://jobs.zhaopin.com/CC614535880J40529938307.htm?refcode=4019&srccode=&preactionid=,北京位来小猎科技有限公司,民营,300-499人,深圳-南山,"数据分析,数据核算,数据统计,excel,过程管理,业务支撑"
数据分析岗,经验不限,本科,8千-1.3万,暂无信息,http://jobs.zhaopin.com/CC388494830J40548988514.htm?refcode=4019&srccode=&preactionid=,深圳市城市公共安全技术研究院有限公司,国企,100-299人,深圳-福田,
人力系统数据分析师,1-3年,本科,1.1万-2.2万,暂无信息,http://jobs.zhaopin.com/CC132962990J40497791102.htm?refcode=4019&srccode=&preactionid=,比亚迪,民营,10000人以上,深圳-坪山,"数据分析,SPRING CLOUD,Sql,MySQL"
